original,translation,ipa,category,date
pintores,painters,/pĩˈtoɾis/,noun_concrete,2026-02-22 15:36
Meia-noite,midnight,/ˈmejaˈnojtʃi/,noun_abstract,2026-02-22 15:36
Silencio,silence,/siˈlẽsju/,noun_abstract,2026-02-22 15:36
vai,goes,/vaj/,verb_vi,2026-02-22 15:36
dormir,to sleep,/doʁˈmiʁ/,verb_vi,2026-02-22 15:36
Amanhã,tomorrow,/amaˈɲɐ̃/,adv,2026-02-22 15:36
serenas,serene,/seˈɾenas/,adj,2026-02-22 15:36
amigas,friendly,/aˈmigɐs/,adj,2026-02-22 15:36
regressarão,will return,/ʁegɾesaˈɾɐ̃w/,verb_vi_fut,2026-02-22 15:36
Ao,to the,/aw/,prep+article,2026-02-22 15:36
