Ich habe mich verirrt | I'm lost (m) | [ɪç hɑːbə mɪç fɛɾˈɪɾt]
Behalten Sie das Wechselgeld | Keep the change | [bəhˈaltən ziː das vˈɛksəlɡˌɛlt]
Wo kann ich ... kaufen? | Where can I buy...? | [vˌoː kˈan ɪç
 kˈaʊfən]
Kann ich das anprobieren? | Can I try it on? | [kˌan ɪç das ˈanproːbˌiːrən]
Haben Sie eine größere Größe? | Do you have a larger size? | [hˌɑːbən ziː ˌaɪnə ɡrˈøːsərə ɡrˈøːsə]
Haben Sie eine andere Farbe? | Do you have another color? | [hˌɑːbən ziː ˌaɪnə ˈandərə fˈaɾbə]
Ist es im Angebot? | Is it on sale? | [ɪst ɛs ɪm ˈanɡəbˌoːt]
Nehmen Sie Kreditkarten? | Do you accept credit cards? | [nˈeːmən ziː krˈeːdɪtkˌaɾtən]
Können Sie das als Geschenk verpacken? | Can you gift-wrap it? | [kˌœnən ziː das als ɡəʃˈɛŋk fɛɾpˈakən]
Ich brauche einen Arzt | I need a doctor | [ɪç brˈaʊxə ˌaɪnən ˈaɾtst]
Wo ist die nächste Apotheke? | Where is the nearest pharmacy? | [vˌoː ɪst diː nˈɛçstə ˈɑpɔthˌeːkə]
Ich habe Kopfschmerzen | I have a headache | [ɪç hɑːbə kˈɔpfʃmɜtsən]
Ich habe Bauchschmerzen | I have a stomachache | [ɪç hɑːbə bˈaʊxʃmɜtsən]
Ich habe Fieber | I have a fever | [ɪç hɑːbə fˈiːbɜ]
Ich huste viel | I'm coughing a lot | [ɪç hˈʊstə fˈiːl]
Ich fühle mich schlecht | I feel sick | [ɪç fˈyːlə mɪç ʃlˈɛçt]
Ich brauche ein Rezept | I need a prescription | [ɪç brˈaʊxə aɪn reːtsˈɛpt]
Wo ist die Polizeistation? | Where is the police station? | [vˌoː ɪst diː pˌoːliːtsˌaɪstatsɪˈoːn]
Meine Tasche wurde gestohlen | My bag was stolen | [mˌaɪnə tˈaʃə vˌʊɐdə ɡəʃtˈoːlən]
Ich habe meinen Pass verloren | I lost my passport | [ɪç hɑːbə mˌaɪnən pˈas fɛɾlˈoːrən]
Können Sie die Polizei rufen? | Can you call the police? | [kˌœnən ziː diː pˌoːliːtsˈaɪ rˈuːfən]
