# Complete French Dictionary
# Generated from story and phrases
# Format: word | English | [IPA]
# Total words: 1255

a-t-elle | does she | [atˈɛl]
attention | attention | [atɑ̃sjˈɔ̃]
attentivement | attentively | [atɑ̃tivmˈɑ̃]
atterrit | lands | [atɛʁˈi]
au | to the | [ˈo]
au-dessus | above | [odəsˈy]
auberge | inn | [obˈɛʁʒ]
augmenter | increase | [oɡmɑ̃tˈe]
aurais | would have | [oʁˈɛ]
aurait | would | [oʁˈɛ]
aussi | also | [osˈi]
authentique | authentic | [ɔːθɛntˈiːk]
autorisation | authorization | [otoʁizasjˈɔ̃]
autour | around | [otˈuʁ]
autre | other | [ˈotʁ]
aux | to the | [ˈo]
avait | had | [avˈɛ]
avalée | swallowed | [avalˈe]
avance | advance | [avˈɑ̃s]
avant | before | [avˈɑ̃]
avec | with | [avˈɛk]
avenir | future | [avnˈiʁ]
aventure | adventure | [avɑ̃tˈyʁ]
avez | have | [avˈe]
avez-vous | have you | [avˈevˈu]
avons | we have | [avˈɔ̃]
bagages | luggage | [baɡˈaʒ]
bancaire | bank | [bɑ̃kˈɛʁ]
bancaires | banking | [bɑ̃kˈɛʁ]
bas | low | [bˈa]
bavarde | talkative | [bavˈaʁd]
beau | beautiful | [bˈo]
beaucoup | a lot | [bokˈu]
belle | beautiful | [bˈɛl]
berger | shepherd | [bɛʁʒˈe]
besoin | need | [bəzwˈɛ̃]
bien | well | [bjˈɛ̃]
bientôt | soon | [bjɛ̃tˈo]
bienvenue | welcome | [bjɛ̃vnˈy]
billet | ticket | [bijˈɛ]
billets | tickets | [bijˈɛ]
bizarre | strange | [bizˈaʁ]
blanc | white | [blˈɑ̃]
blancheur | whiteness | [blɑ̃ʃˈœʁ]
blesser | hurt | [blɛsˈe]
bleu | blue | [blˈø]
bois | wood | [bwˈa]
boit | drinks | [bwˈa]
boivent | drink | [bwˈav]
bon | good | [bˈɔ̃]
bonheur | happiness | [bɔnˈœʁ]
bonne | good | [bˈɔn]
bonsoir | good evening | [bɔ̃swˈaʁ]
bonté | kindness | [bɔ̃tˈe]
bordeaux | Bordeaux | [bɔʁdˈo]
bouillir | boil | [bujˈiʁ]
boulangerie | bakery | [bulɑ̃ʒʁˈi]
boulangère | female baker | [bulɑ̃ʒˈɛʁ]
boulot | job | [bulˈo]
bout | end | [bˈu]
bouteille | bottle | [butˈɛj]
brille | shines | [bʁˈij]
brouillard | fog | [bʁujˈaʁ]
bruit | noise | [bʁyˈi]
brusquement | suddenly | [bʁyskəmˈɑ̃]
brûle | burns | [bʁˈyːl]
bureau | office | [byʁˈo]
bus | bus | [bˈys]
bâtiments | buildings | [batimˈɑ̃]
bêle | bleats | [bˈɛl]
bêlement | bleating | [bɛlmˈɑ̃]
c'est | it is | [sˈɛ]
cabane | cabin | [kabˈan]
café | coffee | [kafˈe]
calme | calm | [kˈalm]
calmement | calmly | [kalməmˈɑ̃]
campagne | countryside | [kɑ̃pˈaɲ]
canapé | sofa | [kanapˈe]
capable | capable | [kapˈabl]
capables | capable | [kapˈabl]
capacité | capacity | [kapasitˈe]
carte | map | [kˈaʁt]
cartes | maps | [kˈaʁt]
casserole | pan | [kasʁˈɔl]
caution | bail | [kosjˈɔ̃]
ce | this | [sˈə-]
cela | that | [səlˈa]
cercle | circle | [sˈɛʁkl]
certaine | certain | [sɛʁtˈɛn]
ces | these | [sˈe]
cette | this | [sˈɛt]
ceux | those | [sˈø]
chacun | each | [ʃakˈœ̃]
chaleur | heat | [ʃalˈœʁ]
chaleureux | warm | [ʃaløʁˈø]
chambre | room | [ʃˈɑ̃bʁ]
chambres | rooms | [ʃˈɑ̃bʁ]
chance | chance | [ʃˈɑ̃s]
change | change | [ʃˈɑ̃ʒ]
changement | change | [ʃɑ̃ʒmˈɑ̃]
changer | change | [ʃɑ̃ʒˈe]
changés | changed | [ʃɑ̃ʒˈe]
chaque | each | [ʃˈak]
charges | charges | [ʃˈaʁʒ]
chargés | charged | [ʃaʁʒˈe]
charmant | charming | [ʃaʁmˈɑ̃]
charme | charm | [ʃˈaʁm]
chaud | hot | [ʃˈo]
chaude | hot | [ʃˈod]
chauds | hot | [ʃˈo]
chef | chief | [ʃˈɛf]
chemin | path | [ʃəmˈɛ̃]
chemins | paths | [ʃəmˈɛ̃]
cheminée | chimney | [ʃəminˈe]
cher | expensive | [ʃˈɛʁ]
cherche | search | [ʃˈɛʁʃ]
cherchent | search | [ʃˈɛʁʃ]
chercher | search | [ʃɛʁʃˈe]
chez | at | [ʃˈe]
chien | dog | [ʃjˈɛ̃]
chocolat | chocolate | [ʃɔkɔlˈa]
choisi | chosen | [ʃwazˈi]
choisir | choose | [ʃwazˈiʁ]
choisissent | choose | [ʃwazˈis]
choix | choice | [ʃwˈa]
chose | thing | [ʃˈoz]
choses | things | [ʃˈoz]
chute | fall | [ʃˈyt]
chèvre | goat | [ʃˈɛvʁ]
chérie | darling | [ʃeʁˈi]
ci | here | [sˈi]
ciel | sky | [sjˈɛl]
cinq | five | [sˈɛ̃k]
clair | clear | [klˈɛʁ]
claire | clear | [klˈɛʁ]
clairière | glade | [klɛʁjˈɛʁ]
climatisation | air conditioning | [klimatizasjˈɔ̃]
clé | key | [klˈe]
code | code | [kˈɔd]
coin | corner | [kwˈɛ̃]
combien | how much | [kɔ̃bjˈɛ̃]
comestibles | edibles | [kɔmɛstˈibl]
commande | order | [kɔmˈɑ̃d]
commandes | orders | [kɔmˈɑ̃d]
comme | like | [kˈɔm]
commence | begins | [kɔmˈɑ̃s]
commencent | begin | [kɔmˈɑ̃s]
commencer | to start | [kɔmɑ̃sˈe]
comment | how | [kɔmˈɑ̃]
commissariat | police station | [kɔmisaʁjˈa]
commun | common | [kɔmˈœ̃]
complètement | completely | [kɔ̃plɛtmˈɑ̃]
complètes | complete | [kɔ̃plˈɛt]
comportement | behavior | [kɔ̃pɔʁtəmˈɑ̃]
comprendre | understand | [kɔ̃pʁˈɑ̃dʁ]
comprends | understand | [kɔ̃pʁˈɑ̃]
compris | included | [kɔ̃pʁˈi]
comprises | included | [kɔ̃pʁˈiz]
compte | account | [kˈɔ̃t]
comptoir | counter | [kɔ̃twˈaʁ]
condition | condition | [kɔ̃disjˈɔ̃]
confiance | trust | [kɔ̃fjˈɑ̃s]
confirmation | confirmation | [kɔ̃fiʁmasjˈɔ̃]
confirmer | confirm | [kɔ̃fiʁmˈe]
confond | confuses | [kɔ̃fˈɔ̃]
confondent | confuse | [kɔ̃fˈɔ̃d]
connaissent | know | [kɔnˈɛs]
connaissons | know | [kɔnɛsˈɔ̃]
connaît | knows | [kɔnˈɛ]
conscient | aware | [kɔ̃sjˈɑ̃]
conseil | advice | [kɔ̃sˈɛj]
conseille | advise | [kɔ̃sˈɛj]
constamment | constantly | [kɔ̃stamˈɑ̃]
consulter | consult | [kɔ̃syltˈe]
contacter | contact | [kɔ̃taktˈe]
continue | continues | [kɔ̃tinˈy]
continuent | continue | [kɔ̃tinˈy]
continuer | continue | [kɔ̃tinyˈe]
continuerons | will continue | [kɔ̃tinyʁˈɔ̃]
continueront | will continue | [kɔ̃tinyʁˈɔ̃]
contraire | opposite | [kɔ̃tʁˈɛʁ]
contrôler | control | [kɔ̃tʁolˈe]
conversation | conversation | [kɔ̃vɛʁsasjˈɔ̃]
corps | body | [kˈɔʁ]
coule | flows | [kˈul]
couleur | color | [kulˈœʁ]
coupable | guilty | [kupˈabl]
courage | courage | [kuʁˈaʒ]
courent | run | [kˈuʁ]
court | short | [kˈuʁ]
couvert | covered | [kuvˈɛʁ]
couverture | coverage | [kuvɛʁtˈyʁ]
coûte | costs | [kˈut]
coûtent | cost | [kˈut]
coûté | cost | [kutˈe]
criant | screaming | [kʁiˈɑ̃]
crie | shouts | [kʁˈi]
croisent | cross | [kʁwˈaz]
croissant | croissant | [kʁwasˈɑ̃]
cru | raw | [kʁˈy]
créé | created | [kʁeˈe]
cueille | picks | [kˈœj]
cuire | cook | [kyˈiʁ]
curiosité | curiosity | [kyʁjozitˈe]
côté | side | [kotˈe]
côtés | sides | [kotˈe]
d'abord | first | [dabˈɔʁ]
d'accord | okay | [dakˈɔʁ]
d'affronter | to face | [dafʁɔ̃tˈe]
d'aide | of help | [dˈɛd]
d'angoisse | of anxiety | [dɑ̃ɡwˈas]
d'annulation | of cancellation | [danylasjˈɔ̃]
d'arriver | of arriving | [daʁivˈe]
d'aucune | of none | [dokˈyn]
d'autre | of another | [dˈotʁ]
d'autres | of others | [dˈotʁ]
d'avant | of before | [davˈɑ̃]
d'avoir | of having | [davwˈaʁ]
d'eau | of water | [dˈo]
d'elle | of her | [dˈɛl]
d'elle-même | of herself | [dɛlmˈɛm]
d'exister | of existing | [dɛɡzistˈe]
d'hier | of yesterday | [djˈɛʁ]
d'hivers | of winters | [divˈɛʁ]
d'ici | from here | [disˈi]
d'identité | of identity | [didɑ̃titˈe]
d'importance | of importance | [dɛ̃pɔʁtˈɑ̃s]
d'inquiétude | of worry | [dɛ̃kjetˈyd]
d'un | of one | [dˈœ̃]
d'une | of a | [dˈyn]
d'âge | of age | [dˈaːʒ]
d'évolution | of evolution | [devɔlysjˈɔ̃]
d'être | of being | [dˈɛtʁ]
dans | in | [dˈɑ̃]
danser | to dance | [dɑ̃sˈe]
de | of | [dˈə-]
dehors | outside | [dəˈɔʁ]
demain | tomorrow | [dəmˈɛ̃]
demande | request | [dəmˈɑ̃d]
demande-t-elle | does she ask | [dəmˈɑ̃dtˈɛl]
demandons | we ask | [dəmɑ̃dˈɔ̃]
demi-heure | half-hour | [dəmjˈœʁ]
demi-tour | U-turn | [dəmˈitˈuʁ]
dense | dense | [dˈɑ̃s]
depuis | since | [dəpyˈi]
dernière | last | [dɛʁnjˈɛʁ]
des | of the | [dˈe-]
descend | descends | [dɛsˈɑ̃]
descende | descend | [dɛsˈɑ̃d]
descendent | descend | [dɛsˈɑ̃d]
descendre | to descend | [dɛsˈɑ̃dʁ]
descends | descend | [dɛsˈɑ̃]
deux | two | [dˈø]
devant | in front of | [dəvˈɑ̃]
devenir | to become | [dəvnˈiʁ]
devient | becomes | [dəvjˈɛ̃]
devons | we must | [dəvˈɔ̃]
devrait | should | [dəvʁˈɛ]
devrions | we should | [dəvʁiˈɔ̃]
dieu | god | [djˈø]
difficile | difficult | [difisˈil]
différent | different | [difeʁˈɑ̃]
différents | different | [difeʁˈɑ̃]
dire | to say | [dˈiʁ]
direct | direct | [diʁˈɛkt]
direction | direction | [diʁɛksjˈɔ̃]
disait | said | [dizˈɛ]
disent-ils | do they say | [dˈiztˈil]
disponibilité | availability | [dispɔnibilitˈe]
disponible | available | [dispɔnˈibl]
dispute | argument | [dispˈyt]
disputer | to argue | [dispytˈe]
distributeur | distributor | [distʁibytˈœʁ]
dit | says | [dˈi]
dit-on | is it said | [dˈitˈɔ̃]
documents | documents | [dɔkymˈɑ̃]
dodo | sleep | [dɔdˈo]
doigt | finger | [dwˈa]
dois | must | [dwˈa]
doit | must | [dwˈa]
donne | gives | [dˈɔn]
dons | gifts | [dˈɔ̃]
dont | whose | [dˈɔ̃]
dormi | slept | [dɔʁmˈi]
dormir | to sleep | [dɔʁmˈiʁ]
dos | back | [dˈɔs]
douce | sweet | [dˈus]
doucement | gently | [dusmˈɑ̃]
doutait | doubted | [dutˈɛ]
doute | doubt | [dˈut]
droit | right | [dʁwˈa]
droite | right | [dʁwˈat]
du | of the | [dˈy-]
dubois | Dubois | [dybwˈa]
dure | hard | [dˈyʁ]
dès | from | [dˈɛ]
débrouiller | manage | [debʁujˈe]
décide | decides | [desˈid]
décidé | decided | [desidˈe]
décision | decision | [desizjˈɔ̃]
découverte | discovery | [dekuvˈɛʁt]
découvertes | discoveries | [dekuvˈɛʁt]
découvre | discovers | [dekˈuvʁ]
découvrir | to discover | [dekuvʁˈiʁ]
décrit | described | [dekʁˈi]
défi | challenge | [defˈi]
défile | parade | [defˈil]
délicatement | delicately | [delikatmˈɑ̃]
délicieuse | delicious | [delisjˈøz]
démarre | starts | [demˈaʁ]
départ | departure | [depˈaʁ]
déposer | to deposit | [depozˈe]
désespoir | despair | [dezɛspwˈaʁ]
désespérément | desperately | [dezɛspeʁemˈɑ̃]
désir | desire | [dezˈiʁ]
désolé | sorry | [dezɔlˈe]
dîner | dinner | [dinˈe]
dû | owed | [dˈyː]
eau | water | [ˈo]
effacés | erased | [efasˈe]
effrayé | scared | [efʁɛjˈe]
elle | she | [ˈɛl]
elles | they | [ˈɛl]
email | email | [ˈiːmɛːjl]
emporte | takes | [ɑ̃pˈɔʁt]
en | in | [ˈɑ̃]
enchanté | delighted | [ɑ̃ʃɑ̃tˈe]
enchantée | delighted | [ɑ̃ʃɑ̃tˈe]
encore | still | [ɑ̃kˈɔʁ]
endroit | place | [ɑ̃dʁwˈa]
enfance | childhood | [ɑ̃fˈɑ̃s]
enfin | finally | [ɑ̃fˈɛ̃]
enlacés | entwined | [ɑ̃lasˈe]
enlève | removes | [ɑ̃lˈɛv]
enneigés | snowy | [ɛnɛʒˈe]
enseigne | sign | [ɑ̃sˈɛɲ]
ensemble | together | [ɑ̃sˈɑ̃bl]
entend | hears | [ɑ̃tˈɑ̃]
enthousiasme | enthusiasm | [ɛnθˈawzɪˌazmɪ]
entière | entire | [ɑ̃tjˈɛʁ]
entre | between | [ˈɑ̃tʁ]
entrent | enter | [ˈɑ̃tʁ]
environ | about | [ɑ̃viʁˈɔ̃]
environs | surroundings | [ɑ̃viʁˈɔ̃]
envoyé | sent | [ɑ̃vwajˈe]
es | are | [ˈɛ]
es-tu | are you | [ɛtˈy]
esprit | mind | [ɛspʁˈi]
essaie | tries | [esˈɛ]
essayer | try | [esɛjˈe]
est | is | [ˈɛ]
est-ce | is it | [ˈɛs]
est-il | is he | [ɛtˈil]
et | and | [ˈe]
euros | euros | [øʁˈo]
exactement | exactly | [ɛɡzaktəmˈɑ̃]
examine | examines | [ɛɡzamˈin]
excellente | excellent | [ɛksɛlˈɑ̃t]
excitée | excited | [ɛksitˈe]
excusez-moi | excuse me | [ɛkskyzˈemwˈa]
exige | demands | [ɛɡzˈiʒ]
exister | exist | [ɛɡzistˈe]
existé | existed | [ɛɡzistˈe]
explique | explains | [ɛksplˈik]
explorer | explore | [ɛksplɔʁˈe]
expérience | experience | [ɛkspeʁjˈɑ̃s]
face | face | [fˈas]
facile | easy | [fasˈil]
faim | hunger | [fˈɛ̃]
faire | do | [fˈɛʁ]
fais | do | [fˈɛ]
faisait | was doing | [fəzˈɛ]
fait | done | [fˈɛ]
fallu | had to | [falˈy]
fasse | do | [fˈas]
fatigué | tired | [fatiɡˈe]
faudrait | should | [fodʁˈɛ]
faut | must | [fˈo]
faut-il | should he | [fotˈil]
femme | woman | [fˈam]
fenêtre | window | [fənˈɛtʁ]
ferme | farm | [fˈɛʁm]
fermeté | firmness | [fɛʁmətˈe]
fermier | farmer | [fɛʁmjˈe]
fermé | closed | [fɛʁmˈe]
feu | fire | [fˈø]
file | line | [fˈil]
fin | end | [fˈɛ̃]
finalement | finally | [finalmˈɑ̃]
fixement | intently | [fiksmˈɑ̃]
fièvre | fever | [fjˈɛvʁ]
flamme | flame | [flˈam]
fois | time | [fwˈa]
fonctionne | works | [fɔ̃ksjˈɔn]
font | do | [fˈɔ̃]
force | strength | [fˈɔʁs]
forces | forces | [fˈɔʁs]
forme | shape | [fˈɔʁm]
fort | strong | [fˈɔʁ]
forte | strong | [fˈɔʁt]
fortes | strong | [fˈɔʁt]
fou | crazy | [fˈu]
fragilité | fragility | [fʁaʒilitˈe]
frais | fresh | [fʁˈɛ]
franchise | frankness | [fʁɑ̃ʃˈiz]
frissonne | shivers | [fʁisˈɔn]
froid | cold | [fʁwˈa]
fromage | cheese | [fʁɔmˈaʒ]
fromages | cheeses | [fʁɔmˈaʒ]
frotte | rubs | [fʁˈɔt]
frénétiquement | frantically | [fʁenetikmˈɑ̃]
fuir | flee | [fyˈiʁ]
futur | future | [fytˈyʁ]
futurs | futures | [fytˈyʁ]
félicitations | congratulations | [felisitasjˈɔ̃]
gardez | keep | [ɡaʁdˈe]
gare | station | [ɡˈaʁ]
gauche | left | [ɡˈoʃ]
gens | people | [ʒˈɑ̃]
gentillesse | kindness | [ʒɑ̃tijˈɛs]
gentils | kind | [ʒɑ̃tˈi]
gluten | gluten | [ɡlytˈɛn]
grand-chose | not much | [ɡʁˈɑ̃ʃˈoz]
grand-mère | grandmother | [ɡʁˈɑ̃mˈɛʁ]
grande | large | [ɡʁˈɑ̃d]
grandit | grows | [ɡʁɑ̃dˈi]
gratitude | gratitude | [ɡʁatitˈyd]
grave | serious | [ɡʁˈav]
gravé | engraved | [ɡʁavˈe]
grenoble | Grenoble | [ɡʁənˈɔbl]
grimace | grimace | [ɡʁimˈas]
groupe | group | [ɡʁˈup]
guichet | counter | [ɡiʃˈɛ]
guide | guide | [ɡˈid]
guidé | guided | [ɡidˈe]
haut | high | [ˈo]
heure | hour | [ˈœʁ]
heures | hours | [ˈœʁ]
heureusement | fortunately | [øʁøzmˈɑ̃]
hier | yesterday | [jˈɛʁ]
histoire | story | [istwˈaʁ]
histoires | stories | [istwˈaʁ]
homme | man | [ˈɔm]
humaine | human | [ymˈɛn]
humaines | humans | [ymˈɛn]
humide | humid | [ymˈid]
hélicoptère | helicopter | [elikɔptˈɛʁ]
hésitation | hesitation | [ezitasjˈɔ̃]
hésite | hesitates | [ezˈit]
ici | here | [isˈi]
idée | idea | [idˈe]
il | he | [ˈil]
illumine | illuminates | [ilymˈin]
ils | they | [ˈil]
immédiatement | immediately | [immedjatmˈɑ̃]
implique | involves | [ɛ̃plˈik]
important | important | [ɛ̃pɔʁtˈɑ̃]
importe | matters | [ɛ̃pˈɔʁt]
impossible | impossible | [ɛ̃pɔsˈibl]
inattendu | unexpected | [inatɑ̃dˈy]
incertitude | uncertainty | [ɛ̃sɛʁtitˈyd]
inclus | included | [ɛ̃klˈy]
incrédule | incredulous | [ɛ̃kʁedˈyl]
indifférence | indifference | [ɛ̃difeʁˈɑ̃s]
indifférent | indifferent | [ɛ̃difeʁˈɑ̃]
indifférentes | indifferent | [ɛ̃difeʁˈɑ̃t]
inhabituel | unusual | [inabityˈɛl]
innocence | innocence | [inɔsˈɑ̃s]
insiste | insists | [ɛ̃sˈist]
instants | moments | [ɛ̃stˈɑ̃]
intentionnalité | intentionality | [ɛ̃tɑ̃sjɔnalitˈe]
interprète | interpreter | [ɛ̃tɛʁpʁˈɛt]
involontaire | involuntary | [ɛ̃vɔlɔ̃tˈɛʁ]
irons | will go | [iʁˈɔ̃]
kilo | kilo | [kilˈo]
l'a | the | [lˈa]
l'abandonner | abandon | [labɑ̃dɔnˈe]
l'addition | the bill | [ladisjˈɔ̃]
l'ai | have | [lˈe]
l'aide | help | [lˈɛd]
l'air | air | [lˈɛʁ]
l'animal | animal | [lanimˈal]
l'appartement | apartment | [lapaʁtəmˈɑ̃]
l'après-midi | afternoon | [lapʁˌɛmidˈi]
l'argent | money | [laʁʒˈɑ̃]
l'arrêt | stop | [laʁˈɛ]
l'assurance | insurance | [lasyʁˈɑ̃s]
l'auberge | inn | [lobˈɛʁʒ]
l'aventure | adventure | [lavɑ̃tˈyʁ]
l'avons | we have | [lavˈɔ̃]
l'eau | water | [lˈo]
l'employée | employee | [lɑ̃plwajˈe]
l'entrée | entrance | [lɑ̃tʁˈe]
l'essentiel | the essential | [lesɑ̃sjˈɛl]
l'excitation | excitement | [lɛksitasjˈɔ̃]
l'heure | hour | [lˈœʁ]
l'homme | man | [lˈɔm]
l'hélicoptère | helicopter | [lelikɔptˈɛʁ]
l'illusion | illusion | [lilyzjˈɔ̃]
l'important | important | [lɛ̃pɔʁtˈɑ̃]
l'impression | impression | [lɛ̃pʁɛsjˈɔ̃]
l'incertitude | uncertainty | [lɛ̃sɛʁtitˈyd]
l'inscription | registration | [lɛ̃skʁipsjˈɔ̃]
l'intérieur | interior | [lɛ̃teʁjˈœʁ]
l'odeur | smell | [lɔdˈœʁ]
l'orientation | orientation | [lɔʁjɑ̃tasjˈɔ̃]
l'écouter | listen | [lekutˈe]
l'église | church | [leɡlˈiz]
l'émotion | emotion | [lemɔsjˈɔ̃]
l'épaule | shoulder | [lepˈol]
l'équipement | equipment | [lekipmˈɑ̃]
la | the | [lˈa-]
laisser | let | [lɛsˈe]
laissée | left | [lɛsˈe]
lait | milk | [lˈɛ]
lampe | lamp | [lˈɑ̃p]
le | the | [lˈə-]
lendemain | next day | [lɑ̃dmˈɛ̃]
lentement | slowly | [lɑ̃tmˈɑ̃]
les | the | [lˈe-]
leur | their | [lˈœʁ]
leurs | theirs | [lˈœʁ]
lever | raise | [ləvˈe]
levé | raised | [ləvˈe]
libre | free | [lˈibʁ]
libres | free | [lˈibʁ]
lire | read | [lˈiʁ]
liste | list | [lˈist]
livre | book | [lˈivʁ]
local | local | [lɔkˈal]
loin | far | [lwˈɛ̃]
londres | London | [lˈɔ̃dʁ]
long | long | [lˈɔ̃]
longue | long | [lˈɔ̃ɡ]
louer | rent | [luˈe]
loyer | rent | [lwajˈe]
lucas | Lucas | [lykˈa]
lui | him | [lyˈi]
lumière | light | [lymjˈɛʁ]
lyon | Lyon | [ljˈɔ̃]
là | there | [lˈa]
là-bas | over there | [lˈabˈa]
là-haut | up there | [lˈaˈo]
lève | lifts | [lˈɛv]
m'a | has | [mˈa]
m'aider | help me | [mɛdˈe]
m'appelle | calls me | [mapˈɛl]
m'apprend | teaches me | [mapʁˈɑ̃]
m'indiquer | show me | [mɛ̃dikˈe]
m'offre | offers me | [mˈɔfʁ]
m'ont | have | [mˈɔ̃]
ma | my | [mˈa-]
magasin | store | [maɡazˈɛ̃]
magnifique | magnificent | [maɲifˈik]
magnifiques | magnificent | [maɲifˈik]
main | hand | [mˈɛ̃]
mains | hands | [mˈɛ̃]
maintenant | now | [mɛ̃tnˈɑ̃]
mais | but | [mˈɛ]
maison | house | [mɛzˈɔ̃]
maisons | houses | [mɛzˈɔ̃]
mal | bad | [mˈal]
mangent | eat | [mˈɑ̃ʒ]
manger | eat | [mɑ̃ʒˈe]
manque | lack | [mˈɑ̃k]
manquer | miss | [mɑ̃kˈe]
marais | marsh | [maʁˈɛ]
marc | Marc | [mˈaʁk]
marche | walk | [mˈaʁʃ]
marchent | walk | [mˈaʁʃ]
marchions | walked | [maʁʃjˈɔ̃]
matin | morning | [matˈɛ̃]
mauvaise | bad | [movˈɛz]
me | me | [mˈə-]
mensuels | monthly | [mɑ̃syˈɛl]
menu | menu | [mənˈy]
mer | sea | [mˈɛʁ]
merci | thank you | [mɛʁsˈi]
merveille | wonder | [mɛʁvˈɛj]
mes | my | [mˈe-]
met | puts | [mˈɛ]
mieux | better | [mjˈø]
minutes | minutes | [minˈyt]
moi | me | [mwˈa]
moi-même | myself | [mwˌamˈɛm]
moins | less | [mwˈɛ̃]
mois | month | [mwˈa]
moment | moment | [mɔmˈɑ̃]
mon | my | [mˈɔ̃]
monde | world | [mˈɔ̃d]
monnaie | currency | [mɔnˈɛ]
monotone | monotonous | [mɔnɔtˈɔn]
mont | hill | [mˈɔ̃]
montagne | mountain | [mɔ̃tˈaɲ]
montagnes | mountains | [mɔ̃tˈanj]
montant | amount | [mɔ̃tˈɑ̃]
monte | goes up | [mˈɔ̃t]
montent | go up | [mˈɔ̃t]
montons | we go up | [mɔ̃tˈɔ̃]
montrant | showing | [mɔ̃tʁˈɑ̃]
montre | watch | [mˈɔ̃tʁ]
montrer | show | [mɔ̃tʁˈe]
montriez | you would show | [mɔ̃tʁiˈe]
moreau | Moreau | [mɔʁˈo]
moteur | engine | [mɔtˈœʁ]
mots | words | [mˈo]
moyen | means | [mwajˈɛ̃]
mur | wall | [mˈyʁ]
murs | walls | [mˈyʁ]
mystérieuse | mysterious | [misteʁjˈøz]
mètres | meters | [mˈɛtʁ]
médecin | doctor | [medəsˈɛ̃]
mélancolie | melancholy | [melɑ̃kɔlˈi]
métro | subway | [metʁˈo]
météo | weather | [meteˈo]
mêle | mixes | [mˈɛl]
même | same | [mˈɛm]
n'a | has not | [nˈa]
n'ai | have not | [nˈe]
n'aie | do not have | [nˈɛ]
n'aurais | would not have | [noʁˈɛ]
n'avais | had not | [navˈɛ]
n'entends | do not hear | [nɑ̃tˈɑ̃]
n'est | is not | [nˈɛ]
n'est-ce | isn't it | [nˈɛs]
n'ont | have not | [nˈɔ̃]
n'oublie | do not forget | [nublˈi]
n'y | there isn't | [nˈi]
nature | nature | [natˈyʁ]
naïveté | naivety | [naivtˈe]
ne | not | [nˈə-]
nerveux | nervous | [nɛʁvˈø]
nervosité | nervousness | [nɛʁvozitˈe]
ni | nor | [nˈi]
noir | black | [nwˈaʁ]
nom | name | [nˈɔ̃]
non | no | [nˈɔ̃]
normal | normal | [nɔʁmˈal]
normandie | Normandy | [nɔʁmɑ̃dˈi]
nos | our | [nˈo]
notion | notion | [nɔsjˈɔ̃]
notre | our | [nˈɔtʁ]
nourrissent | nourish | [nuʁˈis]
nous | we | [nˈu]
