(pt, en)
mountainous | montanhosa | [mˈaʊntɪnəs]
scared | assustado | [skˈeəd]
scenario | cenário | [sənˈɑːɹiˌəʊ]
scene | cena | [sˈiːn]
scenes | cenas | [sˈiːnz]
screaming | gritando | [skɹˈiːmɪŋ]
screams | grita | [skɹˈiːmz]
scrubs | esfrega | [skɹˈʌbz]
sea | mar | [sˈiː]
search | busca | [sˈɜːtʃ]
searching | procurando | [sˈɜːtʃɪŋ]
seats | assentos | [sˈiːts]
see | ver | [sˈiː]
seems | parece | [sˈiːmz]
seen | visto | [sˈiːn]
sees | vê | [sˈiːz]
self | si | [sˈɛlf]
sent | mandei | [sˈɛnt]
separate | separam | [sˈɛpɹət]
separated | separados | [sˈɛpəɹˌeɪtɪd]
served | servido | [sˈɜːvd]
serves | serve | [sˈɜːvz]
seven | sete | [sˈɛvən]
shakes | treme | [ʃˈeɪks]
shape | forma | [ʃˈeɪp]
share | compartilham | [ʃˈeə]
she | ela | [ʃˈiː]
shelter | abrigo | [ʃˈɛltə]
sheltered | abrigou | [ʃˈɛltəd]
shepherd | pastor | [ʃˈɛpəd]
shines | brilha | [ʃˈaɪnz]
shopping | compras | [ʃˈɒpɪŋ]
should | deveria | [ʃˈʊd]
shoulder | ombro | [ʃˈəʊldə]
show | mostrar | [ʃˈəʊ]
showing | mostrando | [ʃˈəʊɪŋ]
shows | mostra | [ʃˈəʊz]
side | lado | [sˈaɪd]
sighs | suspira | [sˈaɪz]
signal | sinal | [sˈɪɡnəl]
signals | sinais | [sˈɪɡnəlz]
silence | silêncio | [sˈaɪləns]
simple | simples | [sˈɪmpəl]
simply | simplesmente | [sˈɪmpli]
sir | senhor | [sˈɜː]
sit | sentam | [sˈɪt]
sits | senta | [sˈɪts]
sitting | sentada | [sˈɪtɪŋ]
six | seis | [sˈɪks]
sixty | sessenta | [sˈɪksti]
sky | céu | [skˈaɪ]
sleep | dormir | [slˈiːp]
sleeping | dormindo | [slˈiːpɪŋ]
slept | dormiu | [slˈɛpt]
slowly | devagar | [slˈəʊli]
small | pequena | [smˈɔːl]
smaller | menor | [smˈɔːlə]
smell | cheiro | [smˈɛl]
smile | sorriso | [smˈaɪl]
smiles | sorri | [smˈaɪlz]
snowy | nevados | [snˈəʊi]
so | assim | [sˈəʊ]
sock | meia | [sˈɒk]
sofa | sofá | [sˈəʊfə]
solid | sólida | [sˈɒlɪd]
some | algum | [sˈʌm]
someone | alguém | [sˈʌmwɒn]
something | algo | [sˈʌmθɪŋ]
soon | logo | [sˈuːn]
sophie | sophie | [sˈəʊfi]
sound | som | [sˈaʊnd]
sounds | soa | [sˈaʊndz]
soup | sopa | [sˈuːp]
source | fonte | [sˈɔːs]
speaker | falante | [spˈiːkə]
spontaneously | espontaneamente | [spɒntˈeɪniəsli]
spread | espalhar | [spɹˈɛd]
spreads | espalha | [spɹˈɛdz]
sprouts | brota | [spɹˈaʊts]
stalks | talos | [stˈɔːks]
station | posto | [stˈeɪʃən]
stay | ficam | [stˈeɪ]
stayed | ficado | [stˈeɪd]
staying | ficando | [stˈeɪɪŋ]
stays | fica | [stˈeɪz]
stems | caules | [stˈɛmz]
still | ainda | [stˈɪl]
sting | picam | [stˈɪŋ]
stirs | mexe | [stˈɜːz]
stone | pedra | [stˈəʊn]
stones | pedras | [stˈəʊnz]
stories | histórias | [stˈɔːɹɪz]
storms | tempestades | [stˈɔːmz]
