# Complete Spanish Dictionary
# Generated from story and phrases
# Format: word | [IPA]
# Total words: 1998

abajo | [aβˈaxo]
balance | [balˈanθe]
balido | [balˈiðo]
bancaria | [bankˈaɾja]
bank | [bˈaŋk]
barrio | [bˈario]
base | [bˈase]
baños | [bˈaɲos]
be | [bˈe]
bebe | [bˈeβe]
beben | [bˈeβɛn]
been | [bˈeɛn]
better | [bettˈɛɾ]
bien | [bjˈɛn]
bienvenido | [bjˌɛmbenˈiðo]
bienvenidos | [bjˌɛmbenˈiðos]
bill | [bˈiʎ]
billete | [biʎˈete]
billetes | [biʎˈetes]
birthday | [biɾtðˈaɪ]
biʎˈete | [bˈe ˈi (en)tˈɜːndwˈaɪ stɹˈɛs(es) ˈe tˈe ˈe]
bjˈaxe | [bˈe xˈɔta (en)stɹˈɛs(es) ˈa ˈɛkis ˈe]
bjˈɛn | [bˈe xˈɔta (en)stɹˈɛs ˌəʊpənˈɛː(es) ˈɛne]
bjˌɛmbenˈiðo | [bˈe xˈɔta (en)sˈɛkəndɹɪstɹˌɛs ˌəʊpənˈɛː(es) ˈɛme βˈe ˈe ˈɛne (en)stɹˈɛs(es) ˈi ðˈe ˈo]
blanc | [blˈank]
blancura | [blankˈuɾa]
bless | [blˈess]
bocadillos | [bˌokaðˈiʎos]
bolsillo | [bɔlsˈiʎo]
bolsillos | [bɔlsˈiʎos]
bolso | [bˈɔlso]
bondad | [bɔndˈad]
bonito | [bonˈito]
borradas | [bɔrˈaðas]
botella | [botˈeʎa]
breakfast | [bɾˌeakfˈast]
brilla | [bɾˈiʎa]
brota | [bɾˈota]
buen | [bwˈɛn]
buena | [bwˈena]
buenas | [bwˈenas]
bueno | [bwˈeno]
bus | [bˈus]
busca | [bˈuska]
buscando | [buskˈando]
buscar | [buskˈaɾ]
buscarla | [buskˈaɾla]
buscándome | [buskˈandome]
buy | [bˈujj]
bwˈenas | [bˈe ˌuβe ðˈɔβle (en)stɹˈɛs(es) ˈe ˈɛne ˈa ˈɛse]
bwˈɛm | [bˈe ˌuβe ðˈɔβle (en)stɹˈɛs ˌəʊpənˈɛː(es) ˈɛme]
bwˈɛn | [bˈe ˌuβe ðˈɔβle (en)stɹˈɛs ˌəʊpənˈɛː(es) ˈɛne]
by | [βˈi]
bye | [bjjˈe]
búsqueda | [bˈuskeða]
bˈamos | [bˈe (en)stɹˈɛs(es) ˈa ˈɛme ˈo ˈɛse]
bˈiβo | [bˈe (en)stɹˈɛs(es) ˈi (en)bˈiːtə(es) ˈo]
bˈɛŋɡo | [bˈe (en)stɹˈɛs ˌəʊpənˈɛː(es) ˈɛne xˈe ˈo]
cabaña | [kaβˈaɲa]
cabeza | [kaβˈeθa]
cabra | [kˈaβɾa]
cacahuetes | [kˌakawˈetes]
cada | [kˈaða]
cafetería | [kˌafetɛɾˈia]
café | [kafˈɛ]
cajero | [kaxˈɛɾɔ]
caliente | [kaljˈɛnte]
calificaciones | [kˌalifˌikaθjˈones]
call | [kˈaʎ]
calle | [kˈaʎe]
calles | [kˈaʎes]
calma | [kˈalma]
calmado | [kalmˈaðo]
calor | [kalˈɔɾ]
cama | [kˈama]
camarero | [kˌamaɾˈɛɾɔ]
cambia | [kˈambja]
cambiado | [kambjˈaðo]
cambiando | [kambjˈando]
cambiar | [kambjˈaɾ]
cambio | [kˈambjo]
camina | [kamˈina]
caminan | [kamˈinan]
caminando | [kˌaminˈando]
caminata | [kˌaminˈata]
camino | [kamˈino]
caminos | [kamˈinos]
campo | [kˈampo]
can | [kˈan]
cancel | [kanθˈel]
cancelación | [kˌanθelaθjˈɔn]
cancelado | [kˌanθelˈaðo]
cancelar | [kˌanθelˈaɾ]
cancellation | [kˌanθeʎˈatjɔn]
cancelled | [kˌanθeʎˈed]
cansada | [kansˈaða]
cansado | [kansˈaðo]
capaces | [kapˈaθes]
capacidad | [kˌapaθiðˈad]
capaz | [kapˈaθ]
cara | [kˈaɾa]
card | [kˈaɾd]
cards | [kˈaɾds]
careful | [kˌaɾɛfˈul]
cargaron | [kaɾɣˈaɾɔn]
cariño | [kaɾˈiɲo]
caro | [kˈaɾɔ]
carteles | [kaɾtˈeles]
cartera | [kaɾtˈɛɾa]
casa | [kˈasa]
casas | [kˈasas]
casi | [kˈasi]
caso | [kˈaso]
cautela | [kaʊtˈela]
cautelosamente | [kˌaʊtelˌosamˈɛnte]
cazuela | [kaθwˈela]
cena | [θˈena]
cerca | [θˈɛɾka]
cercana | [θɛɾkˈana]
cercano | [θɛɾkˈano]
cerilla | [θɛɾˈiʎa]
cerillas | [θɛɾˈiʎas]
cerrado | [θɛrˈaðo]
cerraste | [θɛrˈaste]
change | [tʃˈaŋxe]
chaqueta | [tʃakˈeta]
check | [tʃˈek]
cheers | [tʃeˈɛɾs]
chimenea | [tʃˌimenˈea]
chocolate | [tʃˌokolˈate]
christmas | [tʃɾˈistmas]
churrera | [tʃurˈɛɾa]
churrería | [tʃˌurɛɾˈia]
churro | [tʃˈuro]
churros | [tʃˈuros]
cielo | [θjˈelo]
cierta | [θjˈɛɾta]
cinco | [θˈinko]
cita | [θˈita]
ciudad | [θjuðˈad]
claim | [klˈaɪm]
clara | [klˈaɾa]
claro | [klˈaɾɔ]
cocinan | [koθˈinan]
cocinas | [koθˈinas]
code | [kˈoðe]
cogemos | [koxˈemos]
cogen | [kˈoxɛn]
cogido | [koxˈiðo]
cogí | [koxˈi]
coloca | [kolˈoka]
color | [kolˈɔɾ]
come | [kˈome]
comedor | [kˌomeðˈɔɾ]
comen | [kˈomɛn]
comenta | [komˈɛnta]
comer | [komˈɛɾ]
comerciante | [kˌomɛɾθjˈante]
comestibles | [kˌomestˈiβles]
comienza | [komjˈɛnθa]
comienzan | [komjˈɛnθan]
coming | [kˈomiŋ]
comisaría | [kˌomisaɾˈia]
como | [kˈomo]
comparten | [kɔmpˈaɾtɛn]
complaint | [kɔmplˈaɪnt]
completa | [kɔmplˈeta]
completamente | [kˌɔmpletamˈɛnte]
completos | [kɔmplˈetos]
comportamiento | [kˌɔmpɔɾtamjˈɛnto]
compra | [kˈɔmpɾa]
compramos | [kɔmpɾˈamos]
comprar | [kɔmpɾˈaɾ]
compras | [kˈɔmpɾas]
comprender | [kˌɔmpɾɛndˈɛɾ]
comprobado | [kˌɔmpɾoβˈaðo]
comprobar | [kˌɔmpɾoβˈaɾ]
comprobé | [kˌɔmpɾoβˈɛ]
común | [komˈun]
con | [kˈɔn]
condición | [kˌɔndiθjˈɔn]
conditioning | [kˌɔnditjˈoniŋ]
confiar | [kɔmfjˈaɾ]
confirm | [kɔmfˈiɾm]
confirmación | [kˌɔmfiɾmaθjˈɔn]
confirmarme | [kˌɔmfiɾmˈaɾme]
confirmation | [kˌɔmfiɾmˈatjɔn]
confunde | [kɔmfˈunde]
confunden | [kɔmfˈundɛn]
congratulations | [kˌɔŋɡɾatulˈatjɔns]
conmigo | [kɔnmˈiɣo]
conoce | [konˈoθe]
conocemos | [kˌonoθˈemos]
conocen | [konˈoθɛn]
consciente | [kɔnsθjˈɛnte]
consejo | [kɔnsˈexo]
constantemente | [kˌɔnstantemˈɛnte]
consultar | [kˌɔnsultˈaɾ]
contact | [kɔntˈakt]
contactarlos | [kˌɔntaktˈaɾlos]
contará | [kˌɔntaɾˈa]
contigo | [kɔntˈiɣo]
continuar | [kˌɔntinwˈaɾ]
continuarán | [kˌɔntinwaɾˈan]
continúan | [kˌɔntinˈuan]
contrario | [kɔntɾˈaɾjo]
contratar | [kˌɔntɾatˈaɾ]
contraventanas | [kˌɔntɾaβɛntˈanas]
controlar | [kˌɔntɾolˈaɾ]
conversación | [kˌɔmbɛɾsaθjˈɔn]
conversadora | [kˌɔmbɛɾsaðˈɔɾa]
coraje | [kɔɾˈaxe]
corre | [kˈɔre]
corren | [kˈɔrɛn]
correo | [kɔrˈeo]
cosas | [kˈosas]
cosecha | [kosˈetʃa]
cost | [kˈɔst]
costado | [kɔstˈaðo]
costos | [kˈɔstos]
coughing | [kˈowɣiŋ]
could | [kˈowld]
covered | [kˌoβɛɾˈɛd]
creado | [kɾeˈaðo]
crece | [kɾˈeθe]
credit | [kɾeðˈit]
creo | [kɾˈeo]
creído | [kɾeˈiðo]
cruzan | [kɾˈuθan]
crédito | [kɾˈɛðito]
cuando | [kwˈando]
cuanto | [kwˈanto]
cuarto | [kwˈaɾto]
cuatro | [kwˈatɾo]
cubre | [kˈuβɾe]
cuenta | [kwˈɛnta]
cuerpo | [kwˈɛɾpo]
cuesta | [kwˈesta]
cuestan | [kwˈestan]
cuidado | [kwiðˈaðo]
culpable | [kulpˈaβle]
cumbres | [kˈumbɾes]
cumpleaños | [kˌumpleˈaɲos]
curiosidad | [kˌuɾjosiðˈad]
curro | [kˈuro]
cuál | [kwˈal]
cuáles | [kwˈales]
cuándo | [kwˈando]
cuántas | [kwˈantas]
cuánto | [kwˈanto]
cuántos | [kwˈantos]
cálida | [kˈaliða]
círculo | [θˈiɾkulo]
código | [kˈɔðiɣo]
cómo | [kˈɔmo]
da | [dˈa]
damos | [dˈamos]
dando | [dˈando]
danzar | [danθˈaɾ]
dar | [dˈaɾ]
day | [dˈaɪ]
daño | [dˈaɲo]
de | [dˈe]
debe | [dˈeβe]
debemos | [deβˈemos]
debería | [dˌeβɛɾˈia]
deberíamos | [dˌeβɛɾˈiamos]
debo | [dˈeβo]
debí | [deβˈi]
decide | [deθˈiðe]
decidido | [dˌeθiðˈiðo]
decidir | [dˌeθiðˈiɾ]
decisión | [dˌeθisjˈɔn]
decía | [deθˈia]
dedo | [dˈeðo]
deducible | [dˌeðuθˈiβle]
deductible | [dˌeðuktˈiβle]
dejado | [dexˈaðo]
dejarla | [dexˈaɾla]
del | [dˈel]
delante | [delˈante]
delicadamente | [dˌelikˌaðamˈɛnte]
deliciosa | [dˌeliθjˈosa]
demasiado | [dˌemasjˈaðo]
densa | [dˈɛnsa]
dentro | [dˈɛntɾo]
denuncia | [denˈunθja]
depare | [depˈaɾɛ]
deposit | [dˌeposˈit]
depósito | [depˈɔsito]
depˈɔsito | [dˈe ˈe pˈe (en)stɹˈɛs ˌəʊpənˈɔː(es) ˈɛse ˈi tˈe ˈo]
derecha | [dɛɾˈɛtʃa]
desafío | [dˌesafˈio]
desarrollo | [dˌesarˈɔʎo]
desayuno | [dˌesajjˈuno]
descansa | [deskˈansa]
descender | [dˌesθɛndˈɛɾ]
descienden | [desθjˈɛndɛn]
describe | [deskɾˈiβe]
descubre | [deskˈuβɾe]
descubrimiento | [dˌeskuβɾimjˈɛnto]
descubrimientos | [dˌeskuβɾimjˈɛntos]
descubrir | [dˌeskuβɾˈiɾ]
deseas | [desˈeas]
deseo | [desˈeo]
desesperadamente | [dˌesespˌɛɾaðamˈɛnte]
desespero | [dˌesespˈɛɾɔ]
despacio | [despˈaθjo]
despejado | [dˌespexˈaðo]
despertarme | [dˌespɛɾtˈaɾme]
después | [despwˈɛs]
detiene | [detjˈene]
dice | [dˈiθe]
dicen | [dˈiθɛn]
didn't | [dˈidnt]
diferente | [dˌifɛɾˈɛnte]
diferentes | [dˌifɛɾˈɛntes]
difícil | [difˈiθil]
dijo | [dˈixo]
dinero | [dinˈɛɾɔ]
dios | [djˈos]
dirección | [dˌiɾɛkθjˈɔn]
direct | [diɾˈɛkt]
directo | [diɾˈɛkto]
dirige | [diɾˈixe]
disculpe | [diskˈulpe]
discusión | [dˌiskusjˈɔn]
discutir | [dˌiskutˈiɾ]
disgusto | [disɣˈusto]
disipado | [dˌisipˈaðo]
diskˈulpe | [dˈe ˈi ˈɛse kˈa (en)stɹˈɛs(es) ˈu ˈɛle pˈe ˈe]
disponibilidad | [dˌisponˌiβiliðˈad]
disponible | [dˌisponˈiβle]
dispuesto | [dispwˈesto]
disputa | [dispˈuta]
do | [dˈo]
doctor | [dɔktˈɔɾ]
documentos | [dˌokumˈɛntos]
documents | [dˌokumˈɛnts]
does | [dˈoes]
doesn't | [doˈesnt]
don't | [dˈɔnt]
donde | [dˈɔnde]
dones | [dˈones]
dormir | [dɔɾmˈiɾ]
dormiste | [dɔɾmˈiste]
dos | [dˈos]
duda | [dˈuða]
dudaba | [duðˈaβa]
dudas | [dˈuðas]
dudes | [dˈuðes]
duele | [dwˈele]
duelen | [dwˈelɛn]
dueña | [dwˈeɲa]
dueño | [dwˈeɲo]
dulce | [dˈulθe]
dura | [dˈuɾa]
durante | [duɾˈante]
dwˈele | [dˈe ˌuβe ðˈɔβle (en)stɹˈɛs(es) ˈe ˈɛle ˈe]
día | [dˈia]
dónde | [dˈɔnde]
dˈia | [dˈe (en)stɹˈɛs(es) ˈi ˈa]
dˈɔnde | [dˈe (en)stɹˈɛs ˌəʊpənˈɔː(es) ˈɛne ðˈe ˈe]
dˌisponˈiβle | [dˈe (en)sˈɛkəndɹɪstɹˌɛs(es) ˈi ˈɛse pˈe ˈo ˈɛne (en)stɹˈɛs(es) ˈi (en)bˈiːtə(es) ˈɛle ˈe]
dˌisponˌiβiliðˈad | [dˈe (en)sˈɛkəndɹɪstɹˌɛs(es) ˈi ˈɛse pˈe ˈo ˈɛne (en)sˈɛkəndɹɪstɹˌɛs(es) ˈi (en)bˈiːtə(es) ˈi ˈɛle ˈi ðˈe (en)stɹˈɛs(es) ˈa ðˈe]
echo | [ˈetʃo]
edad | [eðˈad]
edificios | [ˌeðifˈiθjos]
el | [ˈel]
electrónico | [ˌelektɾˈɔniko]
elegir | [ˌelexˈiɾ]
elegí | [ˌelexˈi]
elementos | [ˌelemˈɛntos]
eligen | [elˈixɛn]
ella | [ˈeʎa]
ello | [ˈeʎo]
email | [emˈaɪl]
embarga | [embˈaɾɣa]
emocionada | [ˌemoθjonˈaða]
emoción | [ˌemoθjˈɔn]
empezaba | [ˌempeθˈaβa]
empezamos | [ˌempeθˈamos]
empezar | [ˌempeθˈaɾ]
empieza | [empjˈeθa]
empiezan | [empjˈeθan]
empleada | [ˌempleˈaða]
en | [ˈɛn]
encanta | [ɛnkˈanta]
encantada | [ˌɛnkantˈaða]
encantado | [ˌɛnkantˈaðo]
encantador | [ˌɛnkantaðˈɔɾ]
encanto | [ɛnkˈanto]
encender | [ˌɛnθɛndˈɛɾ]
encendió | [ˌɛnθɛndjˈɔ]
encima | [ɛnθˈima]
encontrado | [ˌɛnkɔntɾˈaðo]
encontrar | [ˌɛnkɔntɾˈaɾ]
encontraremos | [ˌɛnkɔntɾaɾˈɛmos]
encontré | [ˌɛnkɔntɾˈɛ]
encontró | [ˌɛnkɔntɾˈɔ]
encuentra | [ɛnkwˈɛntɾa]
encuentran | [ɛnkwˈɛntɾan]
encuentros | [ɛnkwˈɛntɾos]
endereza | [ˌɛndɛɾˈɛθa]
enfrentar | [ˌɛmfɾɛntˈaɾ]
enfrentarlo | [ˌɛmfɾɛntˈaɾlo]
enfrente | [ɛmfɾˈɛnte]
english | [ˈiŋɡliʃ]
enjoy | [ɛŋxˈoɪ]
enseña | [ɛnsˈeɲa]
enseñando | [ˌɛnseɲˈando]
entender | [ˌɛntɛndˈɛɾ]
entiendo | [ɛntjˈɛndo]
entra | [ˈɛntɾa]
entrada | [ɛntɾˈaða]
entran | [ˈɛntɾan]
entrar | [ɛntɾˈaɾ]
entre | [ˈɛntɾe]
entusiasmo | [ˌɛntusjˈasmo]
envié | [ɛmbjˈɛ]
envolverlo | [ˌɛmbɔlβˈɛɾlo]
equipaje | [ˌekipˈaxe]
equipo | [ekˈipo]
era | [ˈɛɾa]
eres | [ˈɛɾɛs]
es | [ˈes]
esa | [ˈesa]
esas | [ˈesas]
escena | [esθˈena]
escenas | [esθˈenas]
escucha | [eskˈutʃa]
escuchado | [ˌeskutʃˈaðo]
escuchara | [ˌeskutʃˈaɾa]
escucho | [eskˈutʃo]
esencial | [ˌesɛnθjˈal]
esfuerza | [esfwˈɛɾθa]
eso | [ˈeso]
esos | [ˈesos]
esparce | [espˈaɾθe]
esparcirse | [ˌespaɾθˈiɾse]
español | [ˌespaɲˈɔl]
espera | [espˈɛɾa]
esperamos | [ˌespɛɾˈamos]
esperar | [ˌespɛɾˈaɾ]
esperemos | [ˌespɛɾˈɛmos]
espero | [espˈɛɾɔ]
espesa | [espˈesa]
espontáneamente | [ˌespɔntˈaneˌamɛnte]
esquina | [eskˈina]
esta | [ˈesta]
estaba | [estˈaβa]
estabais | [estˈaβaɪs]
estabas | [estˈaβas]
estación | [ˌestaθjˈɔn]
estamos | [estˈamos]
estar | [estˈaɾ]
estaremos | [ˌestaɾˈɛmos]
estaré | [ˌestaɾˈɛ]
estas | [ˈestas]
este | [ˈeste]
esto | [ˈesto]
estos | [ˈestos]
estoy | [estˈoɪ]
estrechas | [estɾˈetʃas]
estructura | [ˌestɾuktˈuɾa]
estuve | [estˈuβe]
está | [estˈa]
estábamos | [estˈaβamos]
están | [estˈan]
estás | [estˈas]
esté | [estˈɛ]
estómago | [estˈɔmaɣo]
estúpidos | [estˈupiðos]
estˈa | [ˈe ˈɛse tˈe (en)stɹˈɛs(es) ˈa]
estˈan | [ˈe ˈɛse tˈe (en)stɹˈɛs(es) ˈa ˈɛne]
estˈas | [ˈe ˈɛse tˈe (en)stɹˈɛs(es) ˈa ˈɛse]
estˈoɪ | [ˈe ˈɛse tˈe (en)stɹˈɛs(es) ˈo (en)smˈɔːlkˌapˈaɪ(es)]
estˈɔmaɣo | [ˈe ˈɛse tˈe (en)stɹˈɛs ˌəʊpənˈɔː(es) ˈɛme ˈa (en)ɡˈamə(es) ˈo]
euros | [ˈeʊɾɔs]
evening | [eβˈeniŋ]
evolucionando | [ˌeβolˌuθjonˈando]
exactamente | [ˌeksaktamˈɛnte]
examina | [ˌeksamˈina]
excelente | [ˌeksθelˈɛnte]
exchange | [ekstʃˈaŋxe]
excitación | [ˌeksθitaθjˈɔn]
exclama | [eksklˈama]
excuse | [ekskˈuse]
exige | [eksˈixe]
existiendo | [ˌeksistjˈɛndo]
existir | [ˌeksistˈiɾ]
existió | [ˌeksistjˈɔ]
expensive | [ˌekspɛnsˈiβe]
experiencia | [ˌekspɛɾjˈɛnθja]
explica | [eksplˈika]
explorar | [ˌeksplɔɾˈaɾ]
extendidas | [ˌekstɛndˈiðas]
extiende | [ekstjˈɛnde]
extraña | [ekstɾˈaɲa]
extraño | [ekstɾˈaɲo]
extraños | [ekstɾˈaɲos]
falta | [fˈalta]
far | [fˈaɾ]
farmacia | [faɾmˈaθja]
favor | [faβˈɔɾ]
favorita | [fˌaβɔɾˈita]
favorito | [fˌaβɔɾˈito]
faɾmˈaθja | [ˈɛfe ˈa (en)ˈɑːtap(es) ˈɛme (en)stɹˈɛs(es) ˈa (en)θˈiːtə(es) xˈɔta ˈa]
faβˈɔɾ | [ˈɛfe ˈa (en)bˈiːtə stɹˈɛs ˌəʊpənˈɔː ˈɑːtap(es)]
feel | [feˈel]
fees | [fˈees]
felicidad | [fˌeliθiðˈad]
felicidades | [fˌeliθiðˈaðes]
feliz | [felˈiθ]
felˈiθ | [ˈɛfe ˈe ˈɛle (en)stɹˈɛs(es) ˈi (en)θˈiːtə(es)]
fever | [feβˈɛɾ]
fiebre | [fjˈeβɾe]
fijamente | [fˌixamˈɛnte]
file | [fˈile]
fin | [fˈin]
finalmente | [fˌinalmˈɛnte]
fine | [fˈine]
firmeza | [fiɾmˈeθa]
fjˈeβɾe | [ˈɛfe xˈɔta (en)stɹˈɛs(es) ˈe (en)bˈiːtə ˈɑːtap(es) ˈe]
flight | [flˈiɣt]
fluye | [flˈujje]
fluyendo | [flujjˈɛndo]
for | [fˈɔɾ]
forma | [fˈɔɾma]
formal | [fɔɾmˈal]
fotos | [fˈotos]
found | [fˈownd]
fragilidad | [fɾˌaxiliðˈad]
francés | [fɾanθˈɛs]
french | [fɾˈɛntʃ]
frente | [fɾˈɛnte]
frenéticamente | [fɾenˈɛtikˌamɛnte]
fresco | [fɾˈesko]
from | [fɾˈɔm]
frota | [fɾˈota]
frío | [fɾˈio]
fue | [fwˈe]
fuego | [fwˈeɣo]
fuerte | [fwˈɛɾte]
fuertes | [fwˈɛɾtes]
fuerzas | [fwˈɛɾθas]
fuimos | [fwˈimos]
funciona | [funθjˈona]
funθjˈona | [ˈɛfe ˈu ˈɛne (en)θˈiːtə(es) xˈɔta (en)stɹˈɛs(es) ˈo ˈɛne ˈa]
futuras | [futˈuɾas]
futuro | [futˈuɾɔ]
futuros | [futˈuɾɔs]
