(en, pt)
erased | apagadas | [ɪɹˈeɪzd]
he | ele | [hˈiː]
hear | ouvir | [hˈiə]
hearing | ouvido | [hˈiəɹɪŋ]
hears | ouve | [hˈiəz]
heat | calor | [hˈiːt]
helicopter | helicóptero | [hˈɛlɪkˌɒptə]
hello | olá | [həlˈəʊ]
help | socorro | [hˈɛlp]
helps | socorros | [hˈɛlps]
her | sua | [hˈɜː]
here | aqui | [hˈiə]
hers | dela | [hˈɜːz]
hesitates | hesita | [hˈɛsɪtˌeɪts]
high | alto | [hˈaɪ]
highway | rodovia | [hˈaɪweɪ]
his | dele | [hˈɪz]
holding | segurando | [hˈəʊldɪŋ]
hope | espero | [hˈəʊp]
hot | quente | [hˈɒt]
hour | hora | [ˈaʊə]
hours | horas | [ˈaʊəz]
house | casa | [hˈaʊs]
houses | casas | [hˈaʊzɪz]
human | humana | [hjˈuːmən]
humans | humanas | [hjˈuːmənz]
humid | úmida | [hjˈuːmɪd]
hundred | cento | [hˈʌndɹəd]
hunger | fome | [hˈʌŋɡə]
hurt | doem | [hˈɜːt]
i | eu | [ˈaɪ]
idea | ideia | [aɪdˈiə]
if | se | [ˈɪf]
illuminates | ilumina | [ɪlˈuːmɪnˌeɪts]
illusion | ilusão | [ɪlˈuːʒən]
imagined | imaginava | [ɪmˈadʒɪnd]
immediately | imediatamente | [ɪmˈiːdɪətli]
implies | implica | [ɪmplˈaɪz]
importance | importância | [ɪmpˈɔːtəns]
important | importante | [ɪmpˈɔːtənt]
impossible | impossível | [ɪmpˈɒsəbəl]
impression | impressão | [ɪmpɹˈɛʃən]
in | em | [ˈɪn]
included | incluído | [ɪnklˈuːdɪd]
incredulous | incrédula | [ɪnkɹˈɛdjʊləs]
indifferent | indiferente | [ɪndˈɪfɹənt]
inn | pousada | [ˈɪn]
innocence | inocência | [ˈɪnəsəns]
inside | dentro | [ɪnsˈaɪd]
insists | insiste | [ɪnsˈɪsts]
intentionality | intencionalidade | [ɪntˌɛnʃənˈalɪti]
intently | fixamente | [ɪntˈɛntli]
interior | interior | [ɪntˈiəɹɪə]
interpret | interpreto | [ɪntˈɜːpɹɪt]
interprets | interpreta | [ɪntˈɜːpɹɪts]
involuntary | involuntária | [ɪnvˈɒləntəɹi]
is | está | [ˈɪz]
kilo | quilo | [kˈiːləʊ]
kind | gentis | [kˈaɪnd]
kindness | bondade | [kˈaɪndnəs]
knew | soubesse | [njˈuː]
know | conhecem | [nˈəʊ]
knows | conhece | [nˈəʊz]
lack | falta | [lˈak]
lands | pousa | [lˈandz]
landscape | paisagem | [lˈandskeɪp]
lantern | lanterna | [lˈantən]
laptop | laptop | [lˈaptɒp]
last | última | [lˈast]
league | liga | [lˈiːɡ]
learned | aprendeu | [lˈɜːnd]
learning | aprendendo | [lˈɜːnɪŋ]
leave | partir | [lˈiːv]
leaves | sai | [lˈiːvz]
leaving | saindo | [lˈiːvɪŋ]
left | deixado | [lˈɛft]
less | menos | [lˈɛs]
life | vida | [lˈaɪf]
light | acender | [lˈaɪt]
like | gostam | [lˈaɪk]
list | lista | [lˈɪst]
listened | escutado | [lˈɪsənd]
listening | ouvindo | [lˈɪsənɪŋ]
listens | escuta | [lˈɪsənz]
lit | acendeu | [lˈɪt]
little | pouco | [lˈɪtəl]
live | viva | [lˈaɪv]
lived | morou | [lˈɪvd]
lives | vidas | [lˈaɪvz]
locked | trancou | [lˈɒkt]
lonelinesses | solidões | [lˈəʊnlɪnəsɪz]
long | longa | [lˈɒŋ]
look | olha | [lˈʊk]
looked | olhei | [lˈʊkt]
looking | olhando | [lˈʊkɪŋ]
lose | perder | [lˈuːz]
loses | perde | [lˈuːzɪz]
loss | perda | [lˈɒs]
lost | perdi | [lˈɒst]
love | adoro | [lˈʌv]
low | baixo | [lˈəʊ]
lucas | lucas | [lˈuːkəz]
luck | sorte | [lˈʌk]
magdalene | madalena | [mˈaɡdeɪlˌiːn]
magnificent | magníficas | [maɡnˈɪfɪsənt]
man | homem | [mˈan]
mantiqueira | mantiqueira | [mˈantɪkwˌeəɹə]
many | muitas | [mˈɛni]
map | mapa | [mˈap]
marc | marc | [mˈɑːk]
market | mercado | [mˈɑːkɪt]
match | fósforo | [mˈatʃ]
matches | fósforos | [mˈatʃɪz]
matters | importa | [mˈatəz]
maybe | talvez | [mˈeɪbiː]
me | me | [mˈiː]
meaning | significado | [mˈiːnɪŋ]
means | significa | [mˈiːnz]
meet | conhecer | [mˈiːt]
meetings | encontros | [mˈiːtɪŋz]
melancholy | melancolia | [mˈɛlənkˌɒli]
memories | memórias | [mˈɛməɹˌiz]
merchant | comerciante | [mˈɜːtʃənt]
meters | metros | [mˈiːtəz]
milestone | marco | [mˈaɪlstəʊn]
milk | leite | [mˈɪlk]
mind | mente | [mˈaɪnd]
minutes | minutos | [mˈɪnɪts]
mixture | mistura | [mˈɪkstʃə]
moment | momento | [mˈəʊmənt]
moments | instantes | [mˈəʊmənts]
monotonous | monótona | [mənˈɒtənəs]
more | mais | [mˈɔː]
morning | manhã | [mˈɔːnɪŋ]
mother | mãe | [mˈʌðə]
motor | motor | [mˈəʊtə]
mount | mont | [mˈaʊnt]
mountain | montanha | [mˈaʊntɪn]
