(pt, en)
a | uma | [ˈeɪ]
authentic | autêntica | [ɔːθˈɛntɪk]
available | disponíveis | [ɐvˈeɪləbəl]
aware | consciente | [ɐwˈeə]
baby | bebe | [bˈeɪbi]
back | costas | [bˈak]
backpack | mochila | [bˈakpak]
backpacks | mochilas | [bˈakpaks]
bad | mal | [bˈad]
baker | padeira | [bˈeɪkə]
bakery | padaria | [bˈeɪkəɹɪ]
bathroom | banheiro | [bˈaθɹuːm]
be | estar | [bˈiː]
beach | praia | [bˈiːtʃ]
beautiful | bonito | [bjˈuːtɪfəl]
become | tornam | [bɪkˈʌm]
becomes | torna | [bɪkˈʌmz]
becoming | devir | [bɪkˈʌmɪŋ]
before | antes | [bɪfˈɔː]
behavior | comportamento | [bɪhˈeɪvjə]
behind | trás | [bɪhˈaɪnd]
being | sendo | [bˈiːɪŋ]
below | abaixo | [bɪlˈəʊ]
better | melhor | [bˈɛtə]
big | grande | [bˈɪɡ]
birthday | aniversário | [bˈɜːθdeɪ]
bites | picadas | [bˈaɪts]
blame | culpa | [blˈeɪm]
blanket | cobertor | [blˈaŋkɪt]
bleat | balido | [blˈiːt]
blinds | persianas | [blˈaɪndz]
blows | sopra | [blˈəʊz]
blue | azul | [blˈuː]
body | corpo | [bˈɒdi]
boils | ferve | [bˈɔɪlz]
book | livro | [bˈʊk]
boss | chefe | [bˈɒs]
both | ambos | [bˈəʊθ]
bottle | garrafa | [bˈɒtəl]
boy | rapaz | [bˈɔɪ]
brazilian | brasileiro | [bɹazˈɪliən]
bread | pão | [bɹˈɛd]
breathes | respira | [bɹˈiːðz]
brief | breve | [bɹˈiːf]
brings | traz | [bɹˈɪŋz]
brought | trazido | [bɹˈɔːt]
buildings | prédios | [bˈɪldɪŋz]
burns | queima | [bˈɜːnz]
bus | ônibus | [bˈʌs]
but | mas | [bˈʌt]
butter | manteiga | [bˈʌtə]
buy | comprar | [bˈaɪ]
by | por | [bˈaɪ]
bye | tchau | [bˈaɪ]
cabin | cabana | [kˈabɪn]
cakes | bolos | [kˈeɪks]
calm | calma | [kˈɑːm]
can | pode | [kˈan]
capable | capaz | [kˈeɪpəbəl]
capacity | capacidade | [kəpˈasɪti]
card | cartão | [kˈɑːd]
care | cuidado | [kˈeə]
carry | levar | [kˈaɹi]
case | caso | [kˈeɪs]
cat | gato | [kˈat]
catch | pega | [kˈatʃ]
caught | pegou | [kˈɔːt]
caution | cautela | [kˈɔːʃən]
cautiously | cautelosamente | [kˈɔːʃəsli]
cellar | adega | [sˈɛlə]
certain | certa | [sˈɜːtən]
certainty | certeza | [sˈɜːtənti]
challenge | desafio | [tʃˈalɪndʒ]
changed | mudou | [tʃˈeɪndʒd]
changes | muda | [tʃˈeɪndʒɪz]
changing | mudando | [tʃˈeɪndʒɪŋ]
charm | charme | [tʃˈɑːm]
charming | charmoso | [tʃˈɑːmɪŋ]
checked | chequei | [tʃˈɛkt]
checks | verifica | [tʃˈɛks]
childhood | infância | [tʃˈaɪldhʊd]
chocolate | chocolate | [tʃˈɒklət]
choice | escolha | [tʃˈɔɪs]
choose | escolhem | [tʃˈuːz]
chose | escolhi | [tʃˈəʊz]
circle | círculo | [sˈɜːkəl]
circles | círculos | [sˈɜːkəlz]
city | cidade | [sˈɪti]
clean | limpo | [klˈiːn]
clear | clara | [klˈiə]
clearing | clareira | [klˈiəɹɪŋ]
climb | subir | [klˈaɪm]
cloth | pano | [klˈɒθ]
clothes | roupas | [klˈəʊðz]
clouds | nuvens | [klˈaʊdz]
coat | casaco | [kˈəʊt]
coffee | café | [kˈɒfɪ]
coffees | cafés | [kˈɒfɪz]
cold | frio | [kˈəʊld]
colored | coloridas | [kˈʌləd]
comes | vem | [kˈʌmz]
comments | comenta | [kˈɒmɛnts]
common | comum | [kˈɒmən]
complete | completa | [kəmplˈiːt]
completely | completamente | [kəmplˈiːtli]
confuse | confundem | [kənfjˈuːz]
confuses | confunde | [kənfjˈuːzɪz]
constantly | constantemente | [kˈɒnstəntli]
continue | continuam | [kəntˈɪnjuː]
continues | continua | [kəntˈɪnjuːz]
control | controlar | [kəntɹˈəʊl]
conversation | conversa | [kɒnvəsˈeɪʃən]
cook | cozinhar | [kˈʊk]
cooked | cozidas | [kˈʊkt]
cool | legal | [kˈuːl]
corner | esquina | [kˈɔːnə]
cost | custam | [kˈɒst]
costs | custa | [kˈɒsts]
could | poderia | [kˈʊd]
counter | balcão | [kˈaʊntə]
courage | coragem | [kˈʌɹɪdʒ]
cozy | acolhedor | [kˈəʊzi]
crazy | louco | [kɹˈeɪzi]
created | criei | [kɹiːˈeɪtɪd]
credit | crédito | [kɹˈɛdɪt]
crosses | atravessa | [kɹˈɒsɪz]
crucial | crucial | [kɹˈuːʃəl]
crying | chorando | [kɹˈaɪɪŋ]
curiosity | curiosidade | [kjˌʊɹɪˈɒsɪti]
daily | diária | [dˈeɪli]
dare | ouso | [dˈeə]
dark | escura | [dˈɑːk]
dawn | amanhecer | [dˈɔːn]
day | dia | [dˈeɪ]
deal | lidar | [dˈiːl]
dear | querida | [dˈiə]
decided | decidido | [dɪsˈaɪdɪd]
decides | decide | [dɪsˈaɪdz]
decision | decisão | [dɪsˈɪʒən]
deep | fundo | [dˈiːp]
deeply | profundamente | [dˈiːpli]
delicately | delicadamente | [dˈɛlɪkətli]
delicious | deliciosa | [dɪlˈɪʃəs]
demands | exige | [dɪmˈandz]
dense | densa | [dˈɛns]
departure | ida | [dɪpˈɑːtʃə]
descend | descem | [dɪsˈɛnd]
descending | descendo | [dɪsˈɛndɪŋ]
descends | desce | [dɪsˈɛndz]
describes | descreve | [dɪskɹˈaɪbz]
despair | desespero | [dɪspˈeə]
desperately | desesperadamente | [dˈɛspəɹətli]
despite | apesar | [dɪspˈaɪt]
did | fez | [dˈɪd]
different | diferente | [dˈɪfɹənt]
difficult | difícil | [dˈɪfɪkəlt]
diner | lanchonete | [dˈaɪnə]
direct | direto | [daɪɹˈɛkt]
directs | dirige | [daɪɹˈɛkts]
discount | desconto | [dˈɪskaʊnt]
discover | descobrir | [dɪskˈʌvə]
discoveries | descobertas | [dɪskˈʌvəɹɪz]
discovers | descobre | [dɪskˈʌvəz]
discovery | descoberta | [dɪskˈʌvəɹi]
discuss | discutir | [dɪskˈʌs]
discussion | discussão | [dɪskˈʌʃən]
dissipated | dissipou-se | [dˈɪsɪpˌeɪtɪd]
does | faz | [dˈʌz]
dog | cachorro | [dˈɒɡ]
doing | fazendo | [dˈuːɪŋ]
dominates | domina | [dˈɒmɪnˌeɪts]
door | porta | [dˈɔː]
doubt | dúvida | [dˈaʊt]
doubted | duvidou | [dˈaʊtɪd]
dream | sonho | [dɹˈiːm]
dreams | sonhos | [dɹˈiːmz]
drinkable | potável | [dɹˈɪŋkəbəl]
duarte | duarte | [djˈuːɑːt]
dutra | dutra | [dˈʌtɹə]
each | cada | [ˈiːtʃ]
early | cedo | [ˈɜːlɪ]
easy | fácil | [ˈiːzi]
eat | comem | [ˈiːt]
edible | comestíveis | [ˈɛdəbəl]
elderly | idoso | [ˈɛldəli]
elements | elementos | [ˈɛlɪmənts]
eleven | onze | [ɪlˈɛvən]
elle | elle | [ˈɛl]
email | email | [ˈiːmeɪl]
emerge | surgem | [ɪmˈɜːdʒ]
emerges | surge | [ɪmˈɜːdʒɪz]
end | fim | [ˈɛnd]
english | inglês | [ˈɪŋɡlɪʃ]
enter | entram | [ˈɛntə]
enters | entra | [ˈɛntəz]
enthusiasm | entusiasmo | [ɛnθjˈuːzɪˌazəm]
entrance | entrada | [ˈɛntɹəns]
equal | igual | [ˈiːkwəl]
equipment | equipamento | [ɪkwˈɪpmənt]
