# Complete Italian Dictionary
# Generated from story and phrases
# Format: word | English | [IPA]
# Total words: 1418

abbandonarla | to abandon her | [ˌabːandonˈaːrla]
capisco | I understand | [kapˈisko]
capo | boss | [kˈaːpo]
capra | goat | [kˈaːpra]
cara | dear (feminine) | [kˈaːra]
caricati | loaded | [kˌarikˈaːtɪ]
caro | dear (masculine) | [kˈaːro]
carriera | career | [kˌarɾiˈɛːra]
carta | paper | [kˈaːrta]
carte | cards | [kˈaːrte]
cartelli | signs | [kartˈɛllɪ]
casa | house | [kˈaːza]
case | houses | [kˈaːze]
casetta | little house | [kazˈetːa]
caso | case | [kˈaːzo]
cattiva | bad | [katːˈiːva]
cautela | caution | [kˌaʊtˈɛːla]
cauzione | bail | [kˌaʊtsiˈɔːne]
cavarmela | get by | [kavˈarmela]
cena | dinner | [tʃˈeːna]
cerca | search | [tʃˈeːrka]
cercando | searching | [tʃerkˈando]
cercare | to search | [tʃerkˈaːre]
cerchio | circle | [tʃˈerkio]
certa | certain (feminine) | [tʃˈɛːrta]
certo | certain (masculine) | [tʃˈɛːrto]
che | that | [kˈe]
chi | who | [kˈi]
chiacchierona | chatterbox | [kjˌakːjerˈoːna]
chiama | calls | [kjˈaːma]
chiamare | to call | [kjamˈaːre]
chiami | you call | [kjˈaːmɪ]
chiamo | I call | [kjˈaːmo]
chiara | clear | [kjˈaːra]
chiave | key | [kjˈaːve]
chiede | asks | [kjˈeːde]
chiediamo | we ask | [kjedjˈaːmo]
chiesa | church | [kjˈɛːza]
chilo | kilo | [kˈiːlo]
chiuso | closed | [kjˈuːzo]
ci | us | [tʃˈi]
ciao | hello | [tʃˈaʊ]
cielo | sky | [tʃˈɛːlo]
cime | peaks | [tʃˈiːme]
cinque | five | [tʃˈinkwe]
cioccolato | chocolate | [tʃˌɔkːolˈaːto]
circa | about | [tʃˈiːrka]
città | city | [tʃitːˈa]
ciò | that | [tʃˈɔ]
codice | code | [kˈɔditʃe]
colazione | breakfast | [kˌolatsiˈɔːne]
collinoso | hilly | [kˌollinˈoːzo]
colore | color | [kolˈoːre]
colpa | fault | [kˈolpa]
colpo | blow | [kˈolpo]
come | as | [kˈome]
comincia | begins | [komˈintʃa]
cominciano | begin | [komˈintʃano]
commerciante | merchant | [kˌommertʃˈante]
commestibili | edibles | [kˌommestˈibilɪ]
compleanno | birthday | [kˌompleˈanno]
completa | complete | [komplˈɛːta]
completamente | completely | [kˌompletamˈente]
completi | complete | [komplˈɛːtɪ]
comporta | entails | [kompˈɔːrta]
comportamento | behavior | [kˌomportamˈento]
compra | purchase | [kˈompra]
comprare | buy | [komprˈaːre]
compreremo | we will buy | [kˌomprerˈɛːmo]
compriamo | we buy | [kˌompriˈaːmo]
computer | computer | [kompjˈuːter]
comune | common | [komˈuːne]
comunque | however | [komˈunkwe]
con | with | [kˈon]
condividono | share | [kˌondivˈidono]
condizionata | conditioned | [kˌonditsˌionˈaːta]
condizione | condition | [kˌonditsiˈɔːne]
conferma | confirmation | [konfˈeːrma]
confermare | confirm | [kˌonfermˈaːre]
confonde | confuses | [konfˈonde]
confondono | confuse | [konfˈondono]
congratulazioni | congratulations | [kˌoŋɡratˌʊlatsiˈɔːnɪ]
conosce | knows | [konˈoːʃe]
conosciamo | we know | [kˌonoʃˈaːmo]
conoscono | know | [konˈoskono]
consapevole | aware | [kˌonsapˈevole]
consiglia | advises | [konsˈiːʎa]
consiglio | advice | [konsˈiːʎo]
conta | counts | [kˈonta]
contadino | farmer | [kˌontadˈiːno]
contattarti | contact you | [kˌontatːˈaːrtɪ]
conti | accounts | [kˈontɪ]
continua | continues | [kontˈinʊa]
continuano | continue | [kontˈinʊˌano]
continuare | continue | [kˌontinʊˈaːre]
continueranno | will continue | [kˌontinˌʊerˈanno]
continueremo | we will continue | [kˌontinˌʊerˈɛːmo]
conto | account | [kˈonto]
contrario | opposite | [kontrˈario]
controlla | checks | [kontrˈɔlla]
controllare | control | [kˌontrollˈaːre]
controllato | checked | [kˌontrollˈaːto]
conversazione | conversation | [kˌonversˌatsiˈɔːne]
coperta | blanket | [kopˈɛːrta]
copre | covers | [kˈɔːpre]
coraggio | courage | [korˈadʒːo]
cornetto | croissant | [kornˈetːo]
corpo | body | [kˈɔːrpo]
corre | runs | [kˈɔrɾe]
corrono | run | [kˈɔrɾono]
cos'è | what is | [kosˈɛ]
cosa | thing | [kˈɔːza]
cose | things | [kˈɔːze]
costa | coast | [kˈɔsta]
costano | cost | [kˈɔstano]
costantemente | constantly | [kˌɔstantemˈente]
costato | cost | [kostˈaːto]
costringe | forces | [kostrˈindʒe]
così | so | [kozˈi]
cotte | cooked | [kˈɔtːe]
creato | created | [kreˈaːto]
credito | credit | [krˈedito]
creduto | believed | [kredˈuːto]
cresce | grows | [krˈeːʃe]
cui | whose | [kˈuj]
curiosità | curiosity | [kˌʊriˌɔzitˈa]
d'accordo | agreed | [dakːˈɔːrdo]
d'ansia | of anxiety | [dˈansia]
d'identità | of identity | [dˌidentitˈa]
da | from | [dˈa]
dal | from the | [dˈal]
dall'ansia | from anxiety | [dallˈansia]
dall'autobus | from the bus | [dˈallˌaʊtˌobʊs]
dalla | from the | [dˈalla]
dalle | from the | [dˈalle]
danzare | dance | [dantsˈaːre]
davanti | in front of | [davˈantɪ]
davvero | really | [davvˈeːro]
decide | decides | [detʃˈiːde]
decisione | decision | [dˌetʃiziˈoːne]
deciso | decided | [detʃˈiːzo]
dei | of the | [dˈɛj]
del | of the | [dˈɛl]
delicatamente | gently | [dˌɛlikˌatamˈente]
deliziosa | delicious | [dˌɛlitsiˈɔːza]
dell'acqua | of the water | [dellˈakːwa]
dell'autobus | of the bus | [dˈellˌaʊtˌobʊs]
dell'infanzia | of childhood | [dellinfˈantsia]
della | of the | [dˈɛlla]
delle | of the | [dˈɛlle]
dello | of the | [dˈɛllo]
densa | dense | [dˈɛnsa]
descrive | describes | [deskrˈiːve]
desiderio | desire | [dˌezidˈɛrio]
destra | right | [dˈɛstra]
detto | said | [dˈetːo]
deve | must | [dˈeːve]
devo | I must | [dˈɛːvo]
di | of | [dˈi]
dice | says | [dˈiːtʃe]
diceva | said | [ditʃˈeːva]
dicono | they say | [dˈikono]
difficile | difficult | [diffˈitʃile]
diffonde | spreads | [diffˈonde]
diffondersi | spread | [diffˈondersɪ]
dimenticare | forget | [dˌimentikˈaːre]
dimenticato | forgotten | [dˌimentikˈaːto]
dintorni | surroundings | [dintˈɔːrnɪ]
dio | god | [dˈiːo]
dirada | thins | [dirˈaːda]
diretto | direct | [dirˈɛtːo]
direzione | direction | [dˌiretsiˈɔːne]
dirigono | direct | [dirˈiɡono]
disperatamente | desperately | [dˌisperˌatamˈente]
disperato | desperate | [dˌisperˈaːto]
disperazione | desperation | [dˌisperˌatsiˈɔːne]
dispiace | sorry | [dˌispiˈaːtʃe]
dispiaciuto | sorry | [dˌispjatʃˈuːto]
disponibile | available | [dˌisponˈibile]
disponibilità | availability | [dˌisponˌibilitˈa]
distanza | distance | [distˈantsa]
dito | finger | [dˈiːto]
divano | sofa | [divˈaːno]
divenire | become | [dˌivenˈiːre]
diventa | becomes | [divˈɛnta]
diventando | becoming | [dˌiventˈando]
diventare | become | [dˌiventˈaːre]
diversi | several | [divˈɛːrsɪ]
diverso | different | [divˈɛːrso]
dobbiamo | we must | [dobːjˈaːmo]
documenti | documents | [dˌokʊmˈentɪ]
documento | document | [dˌokʊmˈento]
dolce | sweet | [dˈoltʃe]
dolcemente | sweetly | [dˌoltʃemˈente]
domanda | question | [domˈanda]
domani | tomorrow | [domˈaːnɪ]
doni | gifts | [dˈoːnɪ]
donna | woman | [dˈɔnna]
dopo | after | [dˈoːpo]
dormire | sleep | [dormˈiːre]
dormiremo | we will sleep | [dˌɔrmirˈɛːmo]
dormito | slept | [dormˈiːto]
dov'è | where is | [dovˈɛ]
dove | where | [dˈoːve]
dovrei | should | [dovrˈeːɪ]
dovremmo | should | [dovrˈɛmmo]
dovuto | owed | [dovˈuːto]
dritto | straight | [drˈitːo]
drogheria | grocery | [drˌoɡerˈiːa]
dubbio | doubt | [dˈubːio]
dubitava | doubted | [dˌʊbitˈaːva]
due | two | [dˈuːe]
dura | hard | [dˈuːra]
dà | gives | [dˈa]
ecco | here is | [ˈɛkːo]
ed | and | [ˈɛd]
edifici | buildings | [ˌedifˈiːtʃɪ]
elementi | elements | [ˌɛlemˈentɪ]
elettrica | electric | [elˈɛtːrika]
elicottero | helicopter | [ˌɛlikˈɔtːero]
email | email | [ˈeːmaɪl]
emergono | emerge | [emˈɛrɡono]
emozionata | excited | [ˌemotsˌionˈaːta]
entra | enters | [ˈentra]
entrambi | both | [entrˈambɪ]
entrano | enter | [ˈentrano]
entusiasmo | enthusiasm | [ˌentʊzjˈazmo]
era | was | [ˈɛra]
eravamo | we were | [ˌɛravˈaːmo]
eravate | you were | [ˌɛravˈaːte]
esamina | examines | [ezˈamina]
esattamente | exactly | [ˌezatːamˈente]
esausto | exhausted | [ezˈaʊsto]
esce | goes out | [ˈeːʃe]
esclama | exclaims | [esklˈaːma]
escursione | hike | [ˌeskʊrsiˈoːne]
escursioni | hikes | [ˌeskʊrsiˈoːnɪ]
esige | demands | [ˈɛzidʒe]
esistere | exist | [ezˈistere]
esistito | existed | [ˌezistˈiːto]
esita | hesitates | [ˈɛzita]
esitazione | hesitation | [ˌezitˌatsiˈɔːne]
esperienza | experience | [ˌesperiˈɛntsa]
esplorare | explore | [ˌesplorˈaːre]
essere | to be | [ˈɛssere]
età | age | [etˈa]
euro | euro | [ˈɛʊro]
fa | does | [fˈa]
faccio | I do | [fˈatʃːo]
faceva | was doing | [fatʃˈeva]
facile | easy | [fˈatʃile]
fame | hunger | [fˈaːme]
fanno | they do | [fˈanno]
far | to do | [fˈar]
fare | to do | [fˈare]
farlo | to do it | [fˈaːrlo]
farmacia | pharmacy | [fˌarmatʃˈiːa]
farsi | to shave | [fˈaːrsɪ]
fascino | charm | [fˈaʃino]
fatto | fact | [fˈatːo]
fattoria | farm | [fˌatːorˈiːa]
favore | favor | [favˈoːre]
favˈoːre | favor | [ˈeffe ˈa vˈu (en)stɹˈɛs(it) ˈo (en)lˈɛŋθənd(it) ˈɛrɾe ˈe]
febbre | fever | [fˈɛbːre]
felicità | happiness | [fˌɛlitʃitˈa]
ferire | to injure | [ferˈiːre]
ferma | stop | [fˈeːrma]
fermata | stop | [fermˈaːta]
fermezza | firmness | [fermˈetsːa]
ferroviaria | railway | [fˌɛrɾovjˈaria]
fiamma | flame | [fjˈamma]
fiammiferi | matches | [fjammˈiferɪ]
fiammifero | match | [fjammˈifero]
fianco | side | [fjˈanko]
fidarmi | to trust me | [fidˈaːrmɪ]
figura | figure | [fiɡˈuːra]
finalmente | finally | [fˌinalmˈente]
fine | end | [fˈiːne]
finestra | window | [finˈɛstra]
fingere | to pretend | [fˈindʒere]
finita | finished | [finˈiːta]
fino | until | [fˈiːno]
fisso | fixed | [fˈisso]
forma | shape | [fˈoːrma]
formaggi | cheeses | [formˈadʒːɪ]
formaggio | cheese | [formˈadʒːo]
forse | maybe | [fˈoːrse]
forte | strong | [fˈɔːrte]
forti | strong | [fˈɔːrtɪ]
fortuna | luck | [fortˈuːna]
fortunatamente | fortunately | [fˌɔrtʊnˌatamˈente]
fortunato | lucky | [fˌɔrtʊnˈaːto]
forze | forces | [fˈɔːrtse]
foto | photo | [fˈɔːto]
fragilità | fragility | [frˌadʒilitˈa]
francese | French | [frantʃˈeːze]
franchigia | exemption | [frankˈidʒa]
frattempo | meanwhile | [fratːˈɛmpo]
frecciarossa | high-speed train | [frˌetʃːarˈossa]
freddo | cold | [frˈedːo]
freneticamente | frantically | [frˌenetˌikamˈente]
fresca | fresh | [frˈeska]
fresco | fresh | [frˈesko]
fretta | hurry | [frˈetːa]
fronte | front | [frˈonte]
fuggire | escape | [fʊdʒːˈiːre]
funziona | works | [fˌʊntsiˈɔːna]
fuoco | fire | [fʊˈɔːko]
fuori | outside | [fʊˈoːrɪ]
futuri | future | [fʊtˈuːrɪ]
futuro | future | [fʊtˈuːro]
gambi | legs | [ɡˈambɪ]
genovesi | Genoese | [dʒˌenovˈeːzɪ]
gente | people | [dʒˈɛnte]
gentilezza | kindness | [dʒˌentilˈetsːa]
gentili | kind | [dʒentˈiːlɪ]
giacca | jacket | [dʒˈakːa]
giardino | garden | [dʒardˈiːno]
giornata | day | [dʒornˈaːta]
giorno | day | [dʒˈoːrno]
giovane | young | [dʒˈovane]
gira | turns | [dʒˈiːra]
girare | to turn | [dʒirˈaːre]
girate | turn | [dʒirˈaːte]
giro | tour | [dʒˈiːro]
giusto | right | [dʒˈusto]
già | already | [dʒˈa]
giù | down | [dʒˈu]
gli | the | [ʎˈi]
glutine | gluten | [ɡlˈutine]
grande | big | [ɡrˈande]
gratitudine | gratitude | [ɡrˌatitˈudine]
grave | serious | [ɡrˈaːve]
grazie | thank you | [ɡrˈatsje]
grenoble | Grenoble | [ɡrenˈoble]
grida | screams | [ɡrˈiːda]
gridando | screaming | [ɡridˈando]
gruppo | group | [ɡrˈupːo]
guarda | watch | [ɡwˈaːrda]
guardando | watching | [ɡwardˈando]
guardano | watch | [ɡwˈardano]
guardato | watched | [ɡwardˈaːto]
guida | guide | [ɡwˈiːda]
guidato | driven | [ɡwidˈaːto]
ha | has | [ˈa]
hai | have | [ˈaj]
hanno | have | [ˈanno]
ho | have | [ˈɔ]
idea | idea | [idˈɛːa]
ieri | yesterday | [jˈɛːrɪ]
il | the | [ˈil]
illumina | illuminates | [illˈumina]
immediatamente | immediately | [ˌimmedjˌatamˈente]
imparato | learned | [ˌimparˈaːto]
impaurito | frightened | [ˌimpaʊrˈiːto]
impazzito | crazy | [ˌimpatsːˈiːto]
implica | implies | [ˈimplika]
importa | matters | [impˈɔːrta]
importante | important | [ˌimportˈante]
importanza | importance | [ˌimportˈantsa]
impossibile | impossible | [ˌimpossˈibile]
improvvisamente | suddenly | [ˌimprovvˌizamˈente]
improvviso | sudden | [ˌimprovvˈiːzo]
improvvistamente | suddenly | [ˌimprovvˌistamˈente]
impulso | impulse | [impˈulso]
inaspettata | unexpected | [ˌinaspetːˈaːta]
incertezza | uncertainty | [ˌintʃertˈetsːa]
incide | affects | [ˈintʃide]
inciso | engraved | [intʃˈiːzo]
inclusa | included | [inklˈuːza]
incluse | included | [inklˈuːze]
incluso | included | [inklˈuːzo]
incontrano | meet | [inkˈontrano]
incontri | meetings | [inkˈontrɪ]
incredula | incredulous | [inkrˈɛdʊla]
incrociano | intersect | [inkrˈotʃano]
indica | indicates | [ˈindika]
indietro | back | [indjˈɛːtro]
indifferente | indifferent | [ˌindifferˈɛnte]
indifferenti | indifferent | [ˌindifferˈɛntɪ]
indifferenza | indifference | [ˌindifferˈɛntsa]
indirizzo | address | [ˌindirˈitsːo]
indossava | wore | [ˌindossˈaːva]
infine | finally | [infˈiːne]
ingenuità | naivety | [ˌindʒenˌʊitˈa]
inghiottita | swallowed | [ˌiŋɡiotːˈiːta]
inglese | English | [iŋɡlˈeːze]
inizia | begins | [inˈitsia]
iniziano | begin | [inˈitsjano]
iniziare | begin | [ˌinitsjˈaːre]
innevate | snowy | [ˌinnevˈaːte]
innocenza | innocence | [ˌinnotʃˈɛntsa]
insegna | teaches | [insˈeɲʲa]
insegnare | teach | [ˌinseɲˈaːre]
insieme | together | [insjˈɛːme]
insiste | insists | [insˈiste]
insolito | unusual | [insˈɔlito]
intanto | meanwhile | [intˈanto]
intenzioni | intentions | [ˌintentsiˈɔːnɪ]
interpreto | interpret | [intˈɛrpreto]
intorno | around | [intˈoːrno]
inverni | winters | [invˈɛːrnɪ]
inviato | sent | [ˌinvɪˈaːto]
involontaria | involuntary | [ˌinvolontˈaria]
io | I | [ˈio]
istante | moment | [istˈante]
istanti | moments | [istˈantɪ]
italiana | Italian | [ˌitaliˈaːna]
l'abbiamo | we have | [labːjˈamo]
l'acqua | the water | [lˈakːwa]
l'affitto | the rent | [laffˈitːo]
l'alto | the high | [lˈalto]
l'animale | the animal | [lˌanimˈaːle]
l'aria | the air | [lˈaria]
l'assicurazione | the insurance | [lˌassikˌʊratsiˈɔːne]
l'attrezzatura | the equipment | [lˌatːretsːatˈuːra]
l'avessi | I had | [lavˈɛssɪ]
l'avventura | the adventure | [lˌavventˈuːra]
l'eccitazione | the excitement | [lˌetʃːitˌatsiˈɔːne]
l'elicottero | the helicopter | [lˌɛlikˈɔtːero]
l'emozione | the emotion | [lˌemotsiˈɔːne]
l'equipaggiamento | the equipment | [lˌekwipˌadʒːamˈento]
l'escursione | the excursion | [lˌeskʊrsiˈoːne]
l'essenziale | the essential | [lˌessentsjˈaːle]
l'ha | has | [lˈa]
l'ho | I have | [lˈɔ]
l'illusione | the illusion | [lˌillʊziˈoːne]
l'impiegata | the employee | [lˌimpjeɡˈaːta]
l'importante | the important | [lˌimportˈante]
l'importo | the amount | [limpˈɔːrto]
l'impressione | the impression | [lˌimpressiˈoːne]
l'incertezza | the uncertainty | [lˌintʃertˈetsːa]
l'inizio | the beginning | [linˈitsio]
l'iscrizione | the registration | [lˌiskritsiˈɔːne]
l'odore | the smell | [lodˈoːre]
l'orientamento | the orientation | [lˌɔriˌentamˈento]
l'orologio | the watch | [lˌɔrolˈɔːdʒo]
l'ufficio | the office | [lʊffˈiːtʃo]
l'uomo | the man | [lwˈɔːmo]
la | the | [lˈa]
laggiù | down there | [ladʒːˈu]
lasciarla | leave her | [laʃˈaːrla]
lasciata | left | [laʃˈaːta]
lasciato | left | [laʃˈaːto]
lassù | up there | [lassˈu]
latte | milk | [lˈatːe]
lavoro | work | [lavˈɔːro]
le | the | [lˈe]
leggere | read | [lˈɛdʒːere]
legna | firewood | [lˈeɲʲa]
legno | wood | [lˈeɲʲo]
lei | she | [lˈɛj]
lentamente | slowly | [lˌentamˈente]
li | them | [lˈi]
libere | free (feminine plural) | [lˈibere]
libero | free (masculine singular) | [lˈibero]
libro | book | [lˈiːbro]
lievemente | slightly | [liˌevemˈente]
limite | limit | [lˈimite]
limpido | clear | [lˈimpido]
lista | list | [lˈista]
lite | quarrel | [lˈiːte]
litigare | to argue | [lˌitiɡˈaːre]
lo | it | [lˈo]
locale | local | [lokˈaːle]
londra | London | [lˈondra]
lontananza | distance | [lˌontanˈantsa]
lontano | far | [lontˈaːno]
loquace | talkative | [lˈokwatʃe]
loro | their | [lˈɔro]
luca | Luke | [lˈuːka]
lucas | Lucas | [lˈuːkas]
luce | light | [lˈuːtʃe]
lui | he | [lˈuɪ]
lunga | long (feminine singular) | [lˈuŋɡa]
lungo | long (masculine singular) | [lˈuŋɡo]
luogo | place | [lʊˈɔːɡo]
là | there | [lˈa]
lì | there | [lˈi]
ma | but | [mˈa]
magari | if only | [maɡˈaːrɪ]
maglione | sweater | [maʎˈoːne]
magnifiche | magnificent (feminine plural) | [maɲˈifike]
magnifico | magnificent (masculine singular) | [maɲˈifiko]
mai | never | [mˈaɪ]
mail | email | [mˈeːil]
mal | badly | [mˈal]
malapena | barely | [mˌalapˈeːna]
male | bad | [mˈaːle]
malinconia | melancholy | [mˌalinkonˈiːa]
manca | lacks | [mˈanka]
mandato | mandate | [mandˈaːto]
mangiano | they eat | [mˈandʒano]
mangiare | to eat | [mandʒˈaːre]
mani | hands | [mˈaːnɪ]
mano | hand | [mˈaːno]
mappa | map | [mˈapːa]
marco | Mark | [mˈaːrko]
mare | sea | [mˈaːre]
mattina | morning | [matːˈiːna]
mattino | morning | [matːˈiːno]
me | me | [mˈe]
medico | doctor | [mˈɛdiko]
meglio | better | [mˈɛːʎo]
mensili | monthly | [mensˈiːlɪ]
mente | mind | [mˈente]
mentre | while | [mˈentre]
menu | menu | [menˈu]
meraviglia | wonder | [mˌɛravˈiːʎa]
mescola | mixes | [mˈeskola]
