# Complete German Dictionary
# Generated from story and phrases
# Format: word | English | [IPA]
# Total words: 1399

ab | from | [ˈap]
bergwacht | mountain guard | [bˈɛɾɡvaxt]
berlin | Berlin | [bɛɾlˈiːn]
berlin-kreuzberg | Berlin-Kreuzberg | [bɛɾlˈiːnkrˈɔøtsbɜk]
berät | advises | [bərˈɛːt]
berühren | touch | [bərˈyːrən]
berührt | touched | [bərˈyːɾt]
bescheid | notice | [bəʃˈaɪt]
beschlossen | decided | [bəʃlˈɔsən]
beschreibt | describes | [bəʃrˈaɪpt]
beschwerde | complaint | [bəʃvˈeːɾdə]
besitzer | owner | [bəzˈɪtsɜ]
besonders | especially | [bəzˈɔndɜs]
besser | better | [bˈɛsɜ]
bestehen | consist | [bəʃtˈeːən]
besteht | exists | [bəʃtˈeːt]
bestellt | ordered | [bəʃtˈɛlt]
bestellungen | orders | [bəʃtˈɛlʊŋən]
bestätigen | confirm | [bəʃtˈɛːtɪɡən]
bestätigung | confirmation | [bəʃtˈɛːtɪɡˌʊŋ]
betrachtet | considered | [bətɾˈaxtət]
betreten | enter | [bətɾˈeːtən]
betritt | enters | [bətɾˈɪt]
bevor | before | [bəfˈoːɾ]
bevorzugst | prefer | [bəfˈoːɾtsˌuːkst]
bewegung | movement | [bəvˈeːɡʊŋ]
bewundern | admire | [bəvˈʊndɜn]
bewusst | aware | [bəvˈʊst]
bewusster | more aware | [bəvˈʊstɜ]
beziehung | relationship | [bətsˈiːʊŋ]
biege | turn | [bˈiːɡə]
biegen | bend | [bˈiːɡən]
bieten | offer | [bˈiːtən]
bin | am | [bˈɪn]
bis | until | [bˈɪs]
bisschen | bit | [bˈɪsçən]
bist | are | [bˈɪst]
bitte | please | [bˈɪtə]
blanc | blank | [blˈank]
blau | blue | [blˈaʊ]
bleiben | stay | [blˈaɪbən]
bleibst | stay | [blˈaɪpst]
bleibt | stays | [blˈaɪpt]
blicken | look | [blˈɪkən]
blickt | looks | [blˈɪkt]
bläst | blows | [blˈɛst]
blöken | bleat | [blˈøːkən]
blökt | bleats | [blˈœkt]
bordeaux | bordeaux | [bˈɔɾdeːˌaʊks]
brauche | need | [brˈaʊxə]
brauchen | need | [brˈaʊxən]
braucht | needs | [brˈaʊxt]
breitet | spreads | [brˈaɪtət]
brennnesseln | nettles | [brˈɛnɛsəln]
brennt | burns | [brˈɛnt]
bringen | bring | [brˈɪŋən]
bringt | brings | [brˈɪŋt]
brot | bread | [brˈoːt]
brötchen | roll | [brˈøːtçən]
buch | book | [bˈʊx]
bus | bus | [bˈʊs]
bushaltestelle | bus stop | [bˈʊshaltˌɛʃtɛlə]
bäckerei | bakery | [bˌɛkeːrˈaɪ]
bäckerin | baker | [bˈɛkərˌɪn]
bäume | trees | [bˈɔømə]
böse | evil | [bˈøːzə]
café | cafe | [kafˈeː]
charmant | charming | [ʃaɾmˈant]
charme | charm | [ʃˈaɾmə]
condition | condition | [kˌɔndiːtsɪˈoːn]
da | there | [dˈɑː]
dabei | thereby | [dɑːbˈaɪ]
dachte | thought | [dˈaxtə]
dahin | there | [dɑːhˈɪn]
damit | with it | [dɑːmˈɪt]
dank | thanks | [dˈaŋk]
dankbarkeit | grateful | [dˈaŋkbaɾkˌaɪt]
danke | thanks | [dˈaŋkə]
dann | then | [dˈan]
daran | on it | [dɑːrˈan]
darauf | on it | [dɑːrˈaʊf]
darüber | about it | [dɑːrˈyːbɜ]
das | the | [dˈas]
dass | that | [dˈas]
dauert | lasts | [dˈaʊɜt]
dazu | to that | [dɑːtsˈuː]
decke | blanket | [dˈɛkə]
deinem | your | [dˈaɪnəm]
deinen | your | [dˈaɪnən]
deiner | your | [dˈaɪnɜ]
dem | the | [dˈeːm]
den | the | [dˈeːn]
denen | those | [dˈeːnən]
denke | think | [dˈɛŋkə]
denken | think | [dˈɛŋkən]
denkt | thinks | [dˈɛŋkt]
denn | because | [dˈɛn]
der | the | [dˈɛɾ]
deren | whose | [dˈeːrən]
des | of the | [dˈɛs]
deshalb | therefore | [dɛshˈalp]
deuten | interpret | [dˈɔøtən]
deutsche | German | [dˈɔøtʃə]
dich | you | [dˈɪç]
dicht | dense | [dˈɪçt]
dichten | seal | [dˈɪçtən]
die | the | [dˈiː]
diese | these | [dˈiːzə]
dieselbe | the same | [diːzˈɛlbə]
diesem | this | [dˈiːzəm]
diesen | this | [dˈiːzən]
dieser | this | [dˈiːzɜ]
dieses | this | [dˈiːzəs]
dinge | things | [dˈɪŋə]
dir | you | [dˈiːɾ]
direkt | direct | [diːrˈɛkt]
direkte | direct | [diːrˈɛktə]
direktverbindung | direct connection | [dˈiːrɛktfɛɾbˌɪndʊŋ]
direktzug | direct train | [dˈiːrɛktsˌuːk]
doch | however | [dˈɔx]
dokumente | documents | [dˌoːkuːmˈɛntə]
dorf | village | [dˈɔɾf]
dorfes | village's | [dˈɔɾfəs]
dort | there | [dˈɔɾt]
draußen | outside | [drˈaʊsən]
dreht | turns | [drˈeːt]
drei | three | [drˈaɪ]
dreimal | three times | [drˈaɪmɑːl]
drohenden | threatening | [drˈoːəndən]
drüben | over there | [drˈyːbən]
du | you | [dˈuː]
duft | scent | [dˈʊft]
dumm | dumb | [dˈʊm]
dunkle | dark | [dˈʊŋklə]
durch | through | [dˈʊɐç]
durchquert | crossed | [dʊɐçkvˈeːɾt]
durchsage | announcement | [dˈʊɐçzˌɑːɡə]
dürfen | may | [dˈʏɾfən]
e-mail | email | [ˈeː(en)mˈeɪl(de)]
e-mail-adresse | email address | [ˈeː(en)mˈeɪl(de)ˈadrɛsə]
echt | real | [ˈɛçt]
ecke | corner | [ˈɛkə]
egal | no matter | [eːɡˈɑːl]
ein | one | [ˈaɪn]
eine | a | [ˈaɪnə]
einem | a | [ˈaɪnəm]
einen | a | [ˈaɪnən]
einer | a | [ˈaɪnɜ]
einfach | simple | [ˈaɪnfˌax]
einfache | simple | [ˈaɪnfˌaxə]
eingang | entrance | [ˈaɪnɡˌaŋ]
eingangstür | front door | [ˈaɪnɡˌaŋʃtyːɾ]
eingezogen | moved in | [ˈaɪnɡətsˌoːɡən]
eingraviert | engraved | [ˈaɪnɡravˌiːɾt]
einige | some | [ˈaɪnɪɡə]
einigen | some | [ˈaɪnɪɡən]
einkäufe | shopping | [ˈaɪnkˌɔøfə]
einmal | once | [ˈaɪnmˌɑːl]
einreichen | submit | [ˈaɪnrˌaɪçən]
einsamkeiten | loneliness | [ˈaɪnzˌɑːmkaɪtən]
einsteigen | board | [ˈaɪnʃtˌaɪɡən]
eintreffen | arrive | [ˈaɪntɾˌɛfən]
eintönig | monotonous | [ˈaɪntˌøːnɪç]
einverstanden | agreed | [ˈaɪnfɛɾʃtˌandən]
elemente | elements | [ˌeːleːmˈɛntə]
elf | eleven | [ˈɛlf]
emotion | emotion | [ˌeːmoːtsɪˈoːn]
empfehlen | recommend | [ɛmpfˈeːlən]
empfängt | receives | [ɛmpfˈɛŋt]
ende | end | [ˈɛndə]
endlich | finally | [ˈɛntlɪç]
engen | narrow | [ˈɛŋən]
englisch | English | [ˈɛŋlɪʃ]
engländer | Englishman | [ˈɛŋlɛndɜ]
engländerin | Englishwoman | [ˈɛŋlɛndərˌɪn]
entdecken | discover | [ɛntdˈɛkən]
entdeckt | discovered | [ɛntdˈɛkt]
entdeckung | discovery | [ɛntdˈɛkʊŋ]
entdeckungen | discoveries | [ɛntdˈɛkʊŋən]
entfacht | ignited | [ɛntfˈaxt]
entfernt | removed | [ɛntfˈɛɾnt]
entfliehen | escape | [ɛntflˈiːən]
enthalten | contain | [ɛnthˈaltən]
entlang | along | [ɛntlˈaŋ]
entscheiden | decide | [ɛntʃˈaɪdən]
entscheidet | decides | [ɛntʃˈaɪdət]
entscheidung | decision | [ɛntʃˈaɪdʊŋ]
entschieden | decided | [ɛntʃˈiːdən]
entschlossenheit | determination | [ɛntʃlˈɔsənhˌaɪt]
entschuldige | excuse me | [ɛntʃˈʊldɪɡə]
entschuldigen | excuse | [ɛntʃˈʊldɪɡən]
entschuldigung | excuse | [ɛntʃˈʊldɪɡˌʊŋ]
entzündet | inflamed | [ɛnttsˈʏndət]
er | he | [ˈɛɾ]
erdnüsse | peanuts | [ɛɾdnˈʏsə]
erfahrung | experience | [ɛɾfˈɑːrʊŋ]
erforderlich | required | [ɛɾfˈɔɾdɜlˌɪç]
erfordert | requires | [ɛɾfˈɔɾdɜt]
erhalten | receive | [ɛɾhˈaltən]
erhöhen | increase | [ɛɾhˈøːən]
erinnern | remind | [ɛɾˈɪnɜn]
erinnerungen | memories | [ɛɾˈɪnərˌʊŋən]
erkannt | recognized | [ɛɾkˈant]
erkenne | recognize | [ɛɾkˈɛnə]
erkennen | recognize | [ɛɾkˈɛnən]
erklärt | declared | [ɛɾklˈɛɾt]
erkunden | explore | [ɛɾkˈʊndən]
erlaubnis | permission | [ɛɾlˈaʊbnɪs]
erleichtert | relieved | [ɛɾlˈaɪçtɜt]
erleuchtet | enlightened | [ɛɾlˈɔøçtət]
erreichen | reach | [ɛɾrˈaɪçən]
erreicht | reached | [ɛɾrˈaɪçt]
erschallt | resounds | [ɛɾʃˈalt]
erscheint | appears | [ɛɾʃˈaɪnt]
erschöpft | exhausted | [ɛɾʃˈœpft]
erst | first | [ˈeːɾst]
erstattung | refund | [ɛɾʃtˈatʊŋ]
ertönt | sounds | [ɛɾtˈœnt]
erzählen | tell | [ɛɾtsˈɛːlən]
erzählt | told | [ɛɾtsˈɛːlt]
eröffnen | open | [ɛɾˈœfnən]
es | it | [ˈɛs]
essbar | edible | [ˈɛsbɑːɾ]
essen | eat | [ˈɛsən]
etwa | about | [ˈɛtvɑː]
etwas | something | [ˈɛtvɑːs]
euch | you (plural) | [ˈɔøç]
euro | euro | [ˈɔøroː]
existieren | exist | [ˌɛksɪstˈiːrən]
existiert | exists | [ˌɛksɪstˈiːɾt]
fahren | drive | [fˈɑːrən]
fahrt | trip | [fˈɑːɾt]
faltigen | wrinkled | [fˈaltɪɡən]
farbe | color | [fˈaɾbə]
farm | farm | [fˈaɾm]
fast | almost | [fˈast]
fehlt | is missing | [fˈeːlt]
felder | fields | [fˈɛldɜ]
felsen | rocks | [fˈɛlzən]
fenster | window | [fˈeːnstɜ]
fensterläden | shutters | [fˈɛnstɜlˌɛːdən]
ferne | distance | [fˈɛɾnə]
fertig | ready | [fˈɛɾtɪç]
fest | firm | [fˈɛst]
festes | solid | [fˈɛstəs]
feucht | moist | [fˈɔøçt]
feuer | fire | [fˈɔøɜ]
fieber | fever | [fˈiːbɜ]
finde | find | [fˈɪndə]
finden | find | [fˈɪndən]
findet | finds | [fˈɪndət]
finger | finger | [fˈɪŋɜ]
flamme | flame | [flˈamə]
flasche | bottle | [flˈaʃə]
fließendes | flowing | [flˈiːsəndəs]
fließt | flows | [flˈiːst]
flug | flight | [flˈuːk]
folge | episode | [fˈɔlɡə]
folgen | follow | [fˈɔlɡən]
folgt | follows | [fˈɔlkt]
form | shape | [fˈɔɾm]
fort | away | [fˈɔɾt]
fotos | photos | [fˈoːtoːs]
frage | question | [frˈɑːɡə]
fragen | ask | [frˈɑːɡən]
fragilität | fragility | [fraɡˈiːliːtˈɛːt]
fragt | asks | [frˈɑːkt]
französisch | French | [frantsˈøːzɪʃ]
frau | woman | [frˈaʊ]
frei | free | [frˈaɪ]
freie | free | [frˈaɪə]
freies | free | [frˈaɪəs]
freundlich | friendly | [frˈɔøntlɪç]
freut | is pleased | [frˈɔøt]
frisch | fresh | [frˈɪʃ]
frische | freshness | [frˈɪʃə]
frischem | fresh | [frˈɪʃəm]
frohe | merry | [frˈoːə]
frohes | merry | [frˈoːəs]
fröstelt | shivers | [frˈœstəlt]
früher | earlier | [frˈyːɜ]
frühstück | breakfast | [frˈyːʃtʏk]
fundbüro | lost and found | [fˈʊndbyːrˌoː]
funktioniert | works | [fˌʊŋktsɪˌoːnˈiːɾt]
furchtbar | terrible | [fˈʊɐçtbɑːɾ]
fähig | capable | [fˈɛːɪç]
fähigkeit | ability | [fˈɛːɪçkˌaɪt]
fährt | drives | [fˈɛːɾt]
fällt | falls | [fˈɛlt]
fängt | catches | [fˈɛŋt]
fühle | feel | [fˈyːlə]
fühlen | feel | [fˈyːlən]
fühlst | feel | [fˈyːlst]
fühlt | feels | [fˈyːlt]
führer | leader | [fˈyːrɜ]
führt | leads | [fˈyːɾt]
führungsziege | lead goat | [fˈyːrʊŋstsˌiːɡə]
füllt | fills | [fˈʏlt]
fünf | five | [fˈʏnf]
fünfzehn | fifteen | [fˈʏnftseːn]
für | for | [fˈyːɾ]
gaben | gave | [ɡˈɑːbən]
ganz | whole | [ɡˈants]
ganze | whole | [ɡˈantsə]
ganzes | whole | [ɡˈantsəs]
garten | garden | [ɡˈaɾtən]
gassen | alleys | [ɡˈasən]
geben | give | [ɡˈeːbən]
geburtstag | birthday | [ɡəbˈʊɐtstɑːk]
gebäck | pastry | [ɡəbˈɛk]
gebäude | building | [ɡəbˈɔødə]
gebühren | fees | [ɡəbˈyːrən]
gecheckt | checked | [ɡəçˈɛkt]
gedacht | thought | [ɡədˈaxt]
gedanken | thoughts | [ɡədˈaŋkən]
geduld | patience | [ɡədˈʊlt]
gefunden | found | [ɡəfˈʊndən]
gefühl | feeling | [ɡəfˈyːl]
geführt | led | [ɡəfˈyːɾt]
gegangen | gone | [ɡəɡˈaŋən]
gegen | against | [ɡˈeːɡən]
gegenteil | opposite | [ɡeːɡəntˈaɪl]
gegenüber | opposite | [ɡˌeːɡənˈyːbɜ]
geh | go | [ɡˈeː]
gehalt | salary | [ɡəhˈalt]
gehe | go | [ɡˈeːə]
geheimnisvolle | mysterious | [ɡəhˈaɪmnɪsfˌɔlə]
gehen | go | [ɡˈeːən]
gehoben | elevated | [ɡəhˈoːbən]
geholfen | helped | [ɡəhˈɔlfən]
geholt | retrieved | [ɡəhˈɔlt]
geht | goes | [ɡˈeːt]
geht's | how's | [ɡˈeːts]
gekocht | cooked | [ɡəkˈɔxt]
gekommen | come | [ɡəkˈɔmən]
gekostet | cost | [ɡəkˈɔstət]
geld | money | [ɡˈɛlt]
geldautomaten | ATMs | [ɡˌɛldaʊtoːmˈɑːtən]
gelebt | lived | [ɡəlˈeːpt]
gelernt | learned | [ɡəlˈɛɾnt]
geltend | valid | [ɡˈɛltənt]
gelüftet | aired | [ɡəlˈʏftət]
gemacht | made | [ɡəmˈaxt]
gemeinsam | together | [ɡəmˈaɪnzɑːm]
gemütliche | cozy | [ɡəmˈyːtlɪçə]
genau | exactly | [ɡənˈaʊ]
genauso | just as | [ɡənˈaʊzoː]
genommen | taken | [ɡənˈɔmən]
gepackt | packed | [ɡəpˈakt]
gepäck | luggage | [ɡəpˈɛk]
gerade | straight | [ɡərˈɑːdə]
geradeaus | straight ahead | [ɡərˈɑdeːˌaʊs]
gerettet | saved | [ɡərˈɛtət]
gerne | gladly | [ɡˈɛɾnə]
geräusch | noise | [ɡərˈɔøʃ]
geräusche | noises | [ɡərˈɔøʃə]
gesagt | said | [ɡəzˈɑːkt]
geschenk | gift | [ɡəʃˈɛŋk]
geschichte | history | [ɡəʃˈɪçtə]
geschichten | stories | [ɡəʃˈɪçtən]
geschickt | sent | [ɡəʃˈɪkt]
geschlafen | slept | [ɡəʃlˈɑːfən]
gesehen | seen | [ɡəzˈeːən]
gesicht | face | [ɡəzˈɪçt]
gespräch | conversation | [ɡəʃprˈɛç]
gesprächig | talkative | [ɡəʃprˈɛçɪç]
gestalt | figure | [ɡəʃtˈalt]
gestern | yesterday | [ɡˈɛstɜn]
gestohlen | stolen | [ɡəʃtˈoːlən]
getan | done | [ɡətˈɑːn]
getrennt | separated | [ɡətɾˈɛnt]
gewissen | conscience | [ɡəvˈɪsən]
gewohnt | accustomed | [ɡəvˈoːnt]
gewusst | known | [ɡəvˈʊst]
gewöhnliche | ordinary | [ɡəvˈøːnlɪçə]
gewöhnliches | ordinary | [ɡəvˈøːnlɪçəs]
gezeigt | shown | [ɡətsˈaɪkt]
gibt | gives | [ɡˈiːpt]
gipfel | peak | [ɡˈɪpfəl]
gleich | same | [ɡlˈaɪç]
gleiche | same | [ɡlˈaɪçə]
gleichgültig | indifferent | [ɡlˈaɪçɡʏltˌɪç]
gleichgültigkeit | indifference | [ɡlˈaɪçɡʏltˌɪçkaɪt]
gleis | track | [ɡlˈaɪs]
glutenfrei | gluten-free | [ɡlˈuːtənfrˌaɪ]
glück | luck | [ɡlˈʏk]
glückwunsch | congratulations | [ɡlˈʏkvʊnʃ]
gott | god | [ɡˈɔt]
großartige | great | [ɡrˈoːsaɾtˌɪɡə]
große | large | [ɡrˈoːsə]
großen | large | [ɡrˈoːsən]
großmutter | grandmother | [ɡrˈɔsmʊtɜ]
großstadt | big city | [ɡrˈɔsstat]
gruppenreservierung | group reservation | [ɡrˌʊpənrˌeːzɛɾvˈiːrʊŋ]
größe | size | [ɡrˈøːsə]
größer | bigger | [ɡrˈøːsɜ]
größere | larger | [ɡrˈøːsərə]
grünen | green | [ɡrˈyːnən]
gut | good | [ɡˈuːt]
gute | good | [ɡˈuːtə]
guten | good | [ɡˈuːtən]
güte | goodness | [ɡˈyːtə]
hab | have | [hˈɑːp]
habe | have | [hˈɑːbə]
haben | have | [hˈɑːbən]
habt | have | [hˈɑːpt]
halbe | half | [hˈalbə]
hallo | hello | [hˈaloː]
halten | hold | [hˈaltən]
hand | hand | [hˈant]
handy | cell phone | [hˈɛndiː]
handys | cell phones | [hˈandyːs]
hast | have | [hˈast]
hat | has | [hˈat]
hatte | had | [hˈatə]
hauptbahnhof | main station | [hˈaʊptbˌɑːnhoːf]
haus | house | [hˈaʊs]
hause | home | [hˈaʊzə]
heil | heal | [hˈaɪl]
heiße | hot | [hˈaɪsə]
heißen | hot | [hˈaɪsən]
heißes | hot | [hˈaɪsəs]
heißt | means | [hˈaɪst]
helfen | help | [hˈɛlfən]
herabzusteigen | to descend | [hɛrˈabtsuːʃtˌaɪɡən]
heraus | out | [hɛrˈaʊs]
herausforderung | challenge | [hɛrˈaʊsfˌɔɾdərˌʊŋ]
herausgehen | go out | [hɛrˈaʊsɡˌeːən]
herberge | hostel | [hˈɛɾbɛɾɡə]
herrlich | wonderful | [hˈɛɾlɪç]
herum | around | [hɛrˈʊm]
herunter | down | [hɛrˈʊntɜ]
herzlichen | heartfelt | [hˈɛɾtslɪçən]
heute | today | [hˈɔøtə]
hi | hi | [hˈaɪ]
hier | here | [hˈiːɾ]
hierher | to here | [hˈiːɾhɜ]
hilfe | help | [hˈɪlfə]
hilfsbereit | helpful | [hˈɪlfsbərˌaɪt]
himmel | sky | [hˈɪməl]
hin | away | [hˈɪn]
hinaus | out | [hɪnˈaʊs]
hinein | in | [hɪnˈaɪn]
hinfahrt | journey there | [hˈɪnfɑːɾt]
hinunter | down | [hɪnˈʊntɜ]
hinuntergehe | go down | [hɪnˈʊntɜɡˌeːə]
hinuntergeht | goes down | [hɪnˈʊntɜɡˌeːt]
hinuntersteigt | descends | [hɪnˈʊntɜʃtˌaɪkt]
hinunterzusteigen | to descend | [hɪnˈʊntɜtsuːʃtˌaɪɡən]
hoch | high | [hˈoːx]
hoffe | hope | [hˈɔfə]
hoffentlich | hopefully | [hˈɔfəntlɪç]
holen | fetch | [hˈoːlən]
holt | fetches | [hˈɔlt]
holz | wood | [hˈɔlts]
holzläden | wooden shutters | [hˈɔltslɛːdən]
hubschrauber | helicopter | [hˈʊpʃraʊbɜ]
hund | dog | [hˈʊnt]
hunger | hunger | [hˈʊŋɜ]
huste | cough | [hˈʊstə]
hält | holds | [hˈɛlt]
hände | hands | [hˈɛndə]
händen | hands | [hˈɛndən]
hätte | would have | [hˈɛtə]
hätten | would have | [hˈɛtən]
häusern | houses | [hˈɔøzɜn]
hölzernen | wooden | [hˈœltsɜnən]
höre | hear | [hˈøːrə]
hören | hear | [hˈøːrən]
hört | hears | [hˈœɾt]
hübsch | pretty | [hˈʏpʃ]
hügeliger | hilly | [hˈyːɡəlˌɪɡɜ]
hütte | cabin | [hˈʏtə]
ice | ice | [ˈiːkə]
ich | I | [ˈɪç]
idee | idea | [iːdˈeː]
ihm | him | [ˈiːm]
ihn | him | [ˈiːn]
ihnen | them | [ˈiːnən]
ihr | her | [ˈiːɾ]
ihre | their | [ˈiːrə]
ihrem | their | [ˈiːrəm]
ihren | their | [ˈiːrən]
ihrer | hers | [ˈiːrɜ]
ihres | its | [ˈiːrəs]
illusion | illusion | [ɪluːzjˈoːn]
im | in | [ˈɪm]
immer | always | [ˈɪmɜ]
inbegriffen | included | [ˈɪnbɛɡrˌɪfən]
indem | by | [ɪndˈeːm]
inhaber | owner | [ˈɪnhɑːbɜ]
inne | inside | [ˈɪnə]
inschrift | inscription | [ˈɪnʃrɪft]
interpretiere | interpret | [ˌɪntɜpreːtˈiːrə]
interpretiert | interpreted | [ˌɪntɜpreːtˈiːɾt]
irgendwohin | somewhere | [ˈɪɾɡəndvˌoːɪn]
ist | is | [ˈɪst]
kaffee | coffee | [kˈafeː]
kamin | fireplace | [kamˈiːn]
kann | can | [kˈan]
kannst | can (informal) | [kˈanst]
karte | card | [kˈaɾtə]
kaufen | buy | [kˈaʊfən]
kauft | buys | [kˈaʊft]
kaum | hardly | [kˈaʊm]
kaution | deposit | [kˌaʊtsɪˈoːn]
kein | no (singular masculine or neuter) | [kˈaɪn]
keine | no (singular feminine) | [kˈaɪnə]
keinen | no (plural) | [kˈaɪnən]
kellner | waiter | [kˈɛlnɜ]
kenne | know (1st person singular) | [kˈɛnə]
kennen | know | [kˈɛnən]
kennt | knows | [kˈɛnt]
kiez | neighborhood | [kˈiːts]
kilo | kilo | [kˈiːloː]
kindheit | childhood | [kˈɪnthaɪt]
kirche | church | [kˈɪɾçə]
klar | clear | [klˈɑːɾ]
klares | clear (neuter) | [klˈɑːrəs]
kleidung | clothing | [klˈaɪdʊŋ]
kleine | small (feminine) | [klˈaɪnə]
kleinen | small (plural) | [klˈaɪnən]
kleiner | small (masculine) | [klˈaɪnɜ]
kleines | small (neuter) | [klˈaɪnəs]
klimaanlage | air conditioning | [klˈiːmɑːnlˌɑːɡə]
kochen | cook | [kˈɔxən]
kocht | cooks | [kˈɔxt]
