# Complete Portuguese Dictionary
# Generated from story and phrases
# Format: word | English | [IPA]
# Total words: 1186

abaixo | below | [ˌabˈaɪʃʊ]
animada | excited | [ˌænimˈadæ]
animais | animals | [ˌænimˈaɪs]
animal | animal | [ˌænimˈaʊ]
aniversário | birthday | [ˌæniveɾəsˈaɾjʊ]
anterior | previous | [ˌɐ̃ŋteɾiˈor]
antes | before | [ˈɐ̃ŋtʃys]
antigos | ancient | [ˌɐ̃ŋtʃˈiɡʊs]
anuncia | announces | [ˌænũŋsˈiæ]
anúncio | advertisement | [ˌænˈũŋsjʊ]
ao | to | [ˈaʊ]
apagadas | erased | [ˌapaɡˈadæs]
aparece | appears | [ˌapaɾˈɛsy]
apartamento | apartment | [ˌapaɾətæmˈeɪŋtʊ]
apenas | only | [ˌapˈenæs]
apesar | despite | [ˌapezˈar]
apetite | appetite | [ˌapetʃˈitʃy]
aponta | points | [ˌapˈoŋtæ]
aprendendo | learning | [ˌapreɪŋdˈeɪŋdʊ]
aprendeu | learned | [ˌapreɪŋdˈeʊ]
aprendi | learned | [ˌapreɪŋdʒˈi]
aproxima | approaches | [ˌaprosˈimæ]
aproximam | approach | [ˌaprosˈimɐ̃ʊ̃]
após | after | [apˈɔs]
aquela | that | [akˈɛlæ]
aqueles | those | [ˌakˈelys]
aqui | here | [akˈi]
ar | air | [ˈar]
arredores | surroundings | [ˌaxedˈɔɾys]
arrependido | regretful | [ˌaxepeɪŋdʒˈidʊ]
arrependimentos | regrets | [ˌaxepˌeɪŋdʒimˈeɪŋtʊs]
arruma | tidies | [ˌaxˈumæ]
as | the | [ˈas]
aspicuelta | aspicuelta | [ˌaspikuˈɛʊtæ]
assentos | seats | [ˌasˈeɪŋtʊs]
assim | so | [asˈiŋ]
assustado | scared | [ˌasustˈadʊ]
atendente | attendant | [ˌateɪŋdˈeɪŋtʃy]
atentamente | attentively | [ˌateɪŋtæmˈeɪŋtʃy]
atravessa | crosses | [ˌatravˈɛsæ]
até | until | [atˈɛ]
autêntica | authentic | [ˌaʊtˈeɪŋtʃikæ]
aventura | adventure | [ˌaveɪŋtˈuɾæ]
avisou | warned | [ˌavizˈow]
avó | grandmother | [avˈɔ]
azul | blue | [azˈuw]
aí | there | [aˈi]
bairro | neighborhood | [bˈaɪxʊ]
baixo | low | [bˈaɪʃʊ]
balcão | counter | [baʊkˈɐ̃ʊ̃]
bale | whale | [bˈaly]
balido | bleat | [bˌalˈidʊ]
banheiro | bathroom | [bˌɐ̃ɲˈeɪɾʊ]
barulho | noise | [bˌaɾˈuljʊ]
bebe | baby | [bˈɛby]
bebem | they drink | [bˈɛbeɪŋ]
bem | well | [bˈeɪŋ]
bem-vindos | welcome | [bˈeɪŋvˈiŋdʊs]
bilhetes | tickets | [bˌiljˈetʃys]
blanc | white | [blˈɐ̃ŋk]
boa | good | [bˈoæ]
bolos | cakes | [bˈolʊs]
bolso | pocket | [bˈowsʊ]
bolsos | pockets | [bˈowsʊs]
bom | good | [bˈoŋ]
bondade | kindness | [bˌoŋdˈadʒy]
bonito | beautiful | [bˌonˈitʊ]
brancura | whiteness | [brˌɐ̃ŋkˈuɾæ]
brasileiro | Brazilian | [brˌazilˈeɪɾʊ]
breve | brief | [brˈɛvy]
briga | fight | [brˈiɡæ]
brigar | to fight | [briɡˈar]
brilha | shines | [brˈiljæ]
brota | sprouts | [brˈɔtæ]
bruscamente | abruptly | [brˌuskæmˈeɪŋtʃy]
busca | search | [bˈuskæ]
buscar | to search | [buskˈar]
cabana | cabin | [kˌabˈɐ̃næ]
cabra | goat | [kˈabræ]
cachorro | dog | [kˌaʃˈoxʊ]
cada | each | [kˈadæ]
café | coffee | [kafˈɛ]
cafés | coffees | [kafˈɛs]
cai | falls | [kˈaɪ]
calma | calm | [kˈaʊmæ]
calmo | calm | [kˈaʊmʊ]
calor | heat | [kalˈor]
caloroso | warm | [kˌaloɾˈozʊ]
caminha | walks | [kˌæmˈiɲæ]
caminhada | walk | [kˌæmiɲˈadæ]
caminham | they walk | [kˌæmˈiɲɐ̃ʊ̃]
caminhamos | we walk | [kˌæmiɲˈɐ̃mʊs]
caminhando | walking | [kˌæmiɲˈɐ̃ŋdʊ]
caminho | path | [kˌæmˈiɲʊ]
caminhos | paths | [kˌæmˈiɲʊs]
campo | field | [kˈɐ̃mpʊ]
campos | fields | [kˈɐ̃mpʊs]
cansada | tired | [kˌɐ̃ŋsˈadæ]
cansado | tired | [kˌɐ̃ŋsˈadʊ]
capacidade | capacity | [kˌapasidˈadʒy]
capaz | capable | [kapˈas]
capazes | capable | [kˌapˈazys]
cara | face | [kˈaɾæ]
careta | grimace | [kˌaɾˈetæ]
caro | expensive | [kˈaɾʊ]
carteira | wallet | [kˌaɾətˈeɪɾæ]
cartão | card | [kaɾətˈɐ̃ʊ̃]
casa | house | [kˈazæ]
casaco | coat | [kˌazˈakʊ]
casas | houses | [kˈazæs]
caso | case | [kˈazʊ]
caules | stems | [kˈaʊlys]
cautela | caution | [kˌaʊtˈɛlæ]
cautelosamente | cautiously | [kˌaʊtelˌozæmˈeɪŋtʃy]
cedo | early | [sˈedʊ]
celular | cell phone | [sˌelulˈar]
celulares | cell phones | [sˌelulˈaɾys]
cena | scene | [sˈenæ]
cenas | scenes | [sˈenæs]
cento | hundred | [sˈeɪŋtʊ]
cenário | scenario | [sˌenˈaɾjʊ]
cerca | about | [sˈeɾəkæ]
certa | certain | [sˈɛɾətæ]
certeza | certainty | [sˌeɾətˈezæ]
certo | right | [sˈɛɾətʊ]
chama | flame | [ʃˈɐ̃mæ]
chapa | plate | [ʃˈapæ]
charme | charm | [ʃˈaɾəmy]
charmoso | charming | [ʃˌaɾəmˈozʊ]
chefe | boss | [ʃˈɛfy]
chega | arrives | [ʃˈeɡæ]
chegada | arrival | [ʃˌeɡˈadæ]
chegam | arrive | [ʃˈeɡɐ̃ʊ̃]
chegamos | we arrive | [ʃˌeɡˈɐ̃mʊs]
chegar | arrive | [ʃeɡˈar]
chegaram | arrived | [ʃˌeɡˈaɾɐ̃ʊ̃]
chegou | arrived | [ʃeɡˈow]
cheio | full | [ʃˈeɪʊ]
cheiro | smell | [ʃˈeɪɾʊ]
chequei | checked | [ʃekˈeɪ]
chocolate | chocolate | [ʃˌokolˈatʃy]
chorando | crying | [ʃˌoɾˈɐ̃ŋdʊ]
chá | tea | [ʃˈa]
cidade | city | [sˌidˈadʒy]
cima | top | [sˈimæ]
cinco | five | [sˈiŋkʊ]
clara | clear | [klˈaɾæ]
clareira | clearing | [klˌaɾˈeɪɾæ]
claro | clear | [klˈaɾʊ]
cobertor | blanket | [kˌobeɾətˈor]
coisa | thing | [kˈoɪzæ]
coisas | things | [kˈoɪzæs]
colhe | harvests | [kˈɔljy]
coloca | places | [kˌolˈɔkæ]
coloridas | colored | [kˌoloɾˈidæs]
com | with | [kˈoŋ]
comem | eat | [kˈomeɪŋ]
comenta | comments | [kˌomˈeɪŋtæ]
comer | eat | [komˈer]
comerciante | merchant | [kˌomeɾəsiˈɐ̃ŋtʃy]
comestíveis | edible | [kˌomestʃˈiveɪs]
comida | food | [kˌomˈidæ]
comigo | with me | [kˌomˈiɡʊ]
como | as | [kˈomʊ]
compartilham | share | [kˌompaɾətʃˈiljɐ̃ʊ̃]
completa | complete | [kˌomplˈɛtæ]
completamente | completely | [kˌompletæmˈeɪŋtʃy]
completos | complete | [kˌomplˈɛtʊs]
comportamento | behavior | [kˌompoɾətæmˈeɪŋtʊ]
compra | purchase | [kˈompræ]
comprar | buy | [komprˈar]
compras | shopping | [kˈompræs]
compreender | understand | [kˌompreeɪŋdˈer]
comum | common | [komˈũŋ]
concordo | agree | [kˌoŋkˈɔɾədʊ]
confiar | trust | [kˌoŋfiˈar]
confunde | confuses | [kˌoŋfˈũŋdʒy]
confundem | confuse | [kˌoŋfˈũŋdeɪŋ]
conhece | knows | [kˌoɲˈɛsy]
conhecem | know | [kˌoɲˈɛseɪŋ]
conhecemos | we know | [kˌoɲesˈemʊs]
conhecer | meet | [kˌoɲesˈer]
consciente | aware | [kˌoŋsiˈeɪŋtʃy]
consegue | achieves | [kˌoŋsˈɛɡy]
conselho | advice | [kˌoŋsˈeljʊ]
consigo | with you | [kˌoŋsˈiɡʊ]
constantemente | constantly | [kˌoŋstɐ̃ŋtemˈeɪŋtʃy]
conta | account | [kˈoŋtæ]
contará | will tell | [kˌoŋtaɾˈa]
contigo | with you | [kˌoŋtʃˈiɡʊ]
continua | continues | [kˌoŋtʃinˈuæ]
continuam | continue | [kˌoŋtʃinˈuɐ̃ʊ̃]
continuar | continue | [kˌoŋtʃinuˈar]
continuaremos | we will continue | [kˌoŋtʃinˌuaɾˈemʊs]
continuarão | will continue | [kˌoŋtʃinˌuaɾˈɐ̃ʊ̃]
controlar | control | [kˌoŋtrolˈar]
contrário | opposite | [kˌoŋtrˈaɾjʊ]
conversa | conversation | [kˌoŋvˈɛɾəsæ]
conversadeira | talkative | [kˌoŋveɾəsadˈeɪɾæ]
conversar | talk | [kˌoŋveɾəsˈar]
coragem | courage | [kˌoɾˈaʒeɪŋ]
corpo | body | [kˈoɾəpʊ]
corre | runs | [kˈɔxy]
correm | run | [kˈɔxeɪŋ]
correndo | running | [kˌoxˈeɪŋdʊ]
costas | back | [kˈɔstæs]
cozidas | cooked | [kˌozˈidæs]
cozinhar | cook | [kˌoziɲˈar]
cresce | grows | [krˈɛsy]
criei | created | [kriˈeɪ]
crucial | crucial | [krˌusiˈaʊ]
crédito | credit | [krˈɛdʒitʊ]
cuidado | care | [kˌuɪdˈadʊ]
culpa | blame | [kˈuwpæ]
culpado | guilty | [kˌuwpˈadʊ]
curiosidade | curiosity | [kˌuɾiˌozidˈadʒy]
custa | costs | [kˈustæ]
custam | cost | [kˈustɐ̃ʊ̃]
custou | cost | [kustˈow]
céu | sky | [sˈɛʊ]
círculo | circle | [sˈiɾəkulʊ]
círculos | circles | [sˈiɾəkulʊs]
da | of the | [dˈa]
dadas | given | [dˈadæs]
daqui | from here | [dakˈi]
dar | give | [dˈar]
das | of the | [dˈas]
de | of | [dʒˈy]
decide | decides | [dˌesˈidʒy]
decidido | decided | [dˌesidʒˈidʊ]
decisão | decision | [dˌesizˈɐ̃ʊ̃]
deixado | left | [dˌeɪʃˈadʊ]
deixamos | we leave | [dˌeɪʃˈɐ̃mʊs]
dela | hers | [dˈɛlæ]
delas | of them | [dˈɛlæs]
dele | his | [dˈely]
deles | of them | [dˈelys]
delicadamente | delicately | [dˌelikˌadæmˈeɪŋtʃy]
deliciosa | delicious | [dˌelisiˈɔzæ]
demais | too much | [demˈaɪs]
densa | dense | [dˈeɪŋsæ]
denso | dense | [dˈeɪŋsʊ]
dentro | inside | [dˈeɪŋtrʊ]
depois | after | [depˈoɪs]
desafio | challenge | [dˌezafˈiʊ]
descanse | rest | [dˌeskˈɐ̃ŋsy]
desce | descends | [dˈɛsy]
descem | descend | [dˈɛseɪŋ]
descendo | descending | [dˌesˈeɪŋdʊ]
descer | descend | [desˈer]
descoberta | discovery | [dˌeskobˈɛɾətæ]
descobertas | discoveries | [dˌeskobˈɛɾətæs]
descobre | discovers | [dˌeskˈɔbry]
descobrir | discover | [dˌeskobrˈir]
desconto | discount | [dˌeskˈoŋtʊ]
descreve | describes | [dˌeskrˈɛvy]
desculpa | excuse | [dˌeskˈuwpæ]
desesperadamente | desperately | [dˌezespˌeɾadæmˈeɪŋtʃy]
desespero | despair | [dˌezespˈeɾʊ]
dessa | of this | [dˈɛsæ]
desse | of that | [dˈesy]
desta | of this | [dˈɛstæ]
deste | of this | [dˈestʃy]
deus | god | [dˈeʊs]
devagar | slowly | [dˌevaɡˈar]
deve | must | [dˈɛvy]
deveria | should | [dˌeveɾˈiæ]
devesse | should | [dˌevˈesy]
devia | owed | [dˌevˈiæ]
devir | becoming | [devˈir]
devo | owe | [dˈevʊ]
devêssemos | we should | [dˌevˈesemʊs]
devíamos | we owed | [dˌevˈiæmʊs]
dia | day | [dʒˈiæ]
diferente | different | [dʒˌifeɾˈeɪŋtʃy]
diferentes | different | [dʒˌifeɾˈeɪŋtʃys]
difícil | difficult | [dʒˌifˈisiʊ]
direita | right | [dʒˌiɾˈeɪtæ]
direito | right | [dʒˌiɾˈeɪtʊ]
direto | direct | [dʒˌiɾˈɛtʊ]
dirige | directs | [dʒˌiɾˈiʒy]
discussão | discussion | [dʒˌiskusˈɐ̃ʊ̃]
discutir | discuss | [dʒˌiskutʃˈir]
disponíveis | available | [dʒˌisponˈiveɪs]
disse | said | [dʒˈisy]
dissipou-se | dissipated | [dʒˌisipˈowsˈy]
diz | says | [dʒˈis]
dizem | say | [dʒˈizeɪŋ]
dizia | said | [dʒˌizˈiæ]
diária | daily | [dʒˌiˈaɾjæ]
dobre | fold | [dˈɔbry]
doce | sweet | [dˈosy]
doces | sweets | [dˈosys]
doem | hurt | [dˈoeɪŋ]
dois | two | [dˈoɪs]
domina | dominates | [dˌomˈinæ]
dona | owner | [dˈonæ]
dono | owner | [dˈonʊ]
dons | gifts | [dˈoŋs]
dormindo | sleeping | [dˌoɾəmˈiŋdʊ]
dormir | sleep | [doɾəmˈir]
dormiu | slept | [doɾəmˈiʊ]
dos | of the | [dˈʊs]
duarte | Duarte | [dˌuˈaɾətʃy]
duas | two | [dˈuæs]
dura | hard | [dˈuɾæ]
dutra | Dutra | [dˈutræ]
duvidou | doubted | [dˌuvidˈow]
dá | gives | [dˈa]
dúvida | doubt | [dˈuvidæ]
ela | she | [ˈɛlæ]
elas | they (feminine) | [ˈɛlæs]
ele | he | [ˈely]
elementos | elements | [ˌelemˈeɪŋtʊs]
eles | they (masculine) | [ˈelys]
elle | elle | [ˈɛly]
em | in | [ˈeɪŋ]
email | email | [ˌemaˈiʊ]
embaixo | underneath | [ˌeɪmbˈaɪʃʊ]
embora | although | [ˌeɪmbˈɔɾæ]
empolgada | excited (feminine) | [ˌeɪmpowɡˈadæ]
empolgado | excited (masculine) | [ˌeɪmpowɡˈadʊ]
encantador | charming | [ˌeɪŋkɐ̃ŋtadˈor]
enche | fills | [ˈeɪŋʃy]
encontra | finds | [ˌeɪŋkˈoŋtræ]
encontrado | found | [ˌeɪŋkoŋtrˈadʊ]
encontram | find | [ˌeɪŋkˈoŋtrɐ̃ʊ̃]
encontramos | we find | [ˌeɪŋkoŋtrˈɐ̃mʊs]
encontrar | find | [ˌeɪŋkoŋtrˈar]
encontrei | I found | [ˌeɪŋkoŋtrˈeɪ]
encontros | meetings | [ˌeɪŋkˈoŋtrʊs]
encontrou | found | [ˌeɪŋkoŋtrˈow]
encontrá-la | find her | [ˌeɪŋkoŋtrˈalæ]
endireita | straighten | [ˌeɪŋdʒiɾˈeɪtæ]
enfrentar | face | [ˌeɪŋfreɪŋtˈar]
enquanto | while | [ˌeɪŋkwˈɐ̃ŋtʊ]
enrugadas | wrinkled | [ˌeɪŋxuɡˈadæs]
ensina | teaches | [ˌeɪŋsˈinæ]
entender | understand | [ˌeɪŋteɪŋdˈer]
entendo | I understand | [ˌeɪŋtˈeɪŋdʊ]
entra | enters | [ˈeɪŋtræ]
entrada | entrance | [ˌeɪŋtrˈadæ]
entram | enter | [ˈeɪŋtrɐ̃ʊ̃]
entrar | enter | [eɪŋtrˈar]
entusiasmo | enthusiasm | [ˌeɪŋtuziˈazmʊ]
então | so | [eɪŋtˈɐ̃ʊ̃]
equipamento | equipment | [ˌekipæmˈeɪŋtʊ]
equipe | team | [ˌekˈipy]
era | was | [ˈɛɾæ]
errar | to err | [exˈar]
escolha | choice | [ˌeskˈoljæ]
escolhem | choose | [ˌeskˈɔljeɪŋ]
escolher | choose | [ˌeskoljˈer]
escolhi | chose | [ˌeskoljˈi]
escura | dark | [ˌeskˈuɾæ]
escuta | listens | [ˌeskˈutæ]
escutado | listened | [ˌeskutˈadʊ]
esfrega | scrubs | [ˌesfrˈɛɡæ]
espalha | spreads | [ˌespˈaljæ]
espalhar | spread | [ˌespaljˈar]
espera | wait | [ˌespˈɛɾæ]
esperar | wait | [ˌespeɾˈar]
espero | hope | [ˌespˈɛɾʊ]
espessa | thick | [ˌespˈesæ]
espontaneamente | spontaneously | [ˌespoŋtˌæneæmˈeɪŋtʃy]
esquece | forgets | [ˌeskˈɛsy]
esqueci | forgot | [ˌeskesˈi]
esquerda | left | [ˌeskˈeɾədæ]
esquina | corner | [ˌeskˈinæ]
essa | that | [ˈɛsæ]
essas | those | [ˈɛsæs]
esse | that | [ˈesi]
essencial | essential | [ˌeseɪŋsiˈaʊ]
esses | those | [ˈesis]
esta | this | [ˈɛstæ]
estamos | we are | [estˈɐ̃mʊs]
estar | be | [estˈar]
estarei | I will be | [ˌestaɾˈeɪ]
estaremos | we will be | [ˌestaɾˈemʊs]
estas | these | [ˈɛstæs]
estava | was | [estˈavæ]
estavam | were | [estˈavɐ̃ʊ̃]
este | this | [ˈestʃy]
estendidas | extended | [ˌesteɪŋdʒˈidæs]
estiver | be | [ˌestʃivˈɛr]
estou | I am | [estˈow]
estranha | strange | [ˌestrˈɐ̃ɲæ]
estranho | strange | [ˌestrˈɐ̃ɲʊ]
estranhos | strange | [ˌestrˈɐ̃ɲʊs]
estreitas | narrow | [ˌestrˈeɪtæs]
estrutura | structure | [ˌestrutˈuɾæ]
está | is | [estˈa]
estávamos | we were | [estˈavæmʊs]
estão | are | [estˈɐ̃ʊ̃]
estúpidos | stupid | [ˌestˈupidʊs]
eu | I | [ˈeʊ]
euros | euros | [ˈeʊɾʊs]
evoluindo | evolving | [ˌevoluˈiŋdʊ]
examina | examines | [ˌezæmˈinæ]
exatamente | exactly | [ˌezatæmˈeɪŋtʃy]
exausto | exhausted | [ˌezˈaʊstʊ]
excelente | excellent | [ˌeselˈeɪŋtʃy]
exclama | exclaims | [ˌesklˈɐ̃mæ]
exige | demands | [ˌezˈiʒy]
existindo | existing | [ˌezistʃˈiŋdʊ]
existir | to exist | [ˌezistʃˈir]
existiu | existed | [ˌezistʃˈiʊ]
experiência | experience | [ˌespeɾjˈeɪŋsjæ]
explica | explains | [ˌesplˈikæ]
explorar | explore | [ˌesploɾˈar]
fala | talks | [fˈalæ]
falante | speaker | [fˌalˈɐ̃ŋtʃy]
falar | to talk | [falˈar]
falo | I speak | [fˈalʊ]
falta | lack | [fˈaʊtæ]
favor | favor | [favˈor]
faz | does | [fˈas]
fazenda | farm | [fˌazˈeɪŋdæ]
fazendeiro | farmer | [fˌazeɪŋdˈeɪɾʊ]
fazendo | doing | [fˌazˈeɪŋdʊ]
fazer | to do | [fazˈer]
felicidade | happiness | [fˌelisidˈadʒy]
feliz | happy | [felˈis]
felizmente | fortunately | [fˌelizmˈeɪŋtʃy]
ferir | to hurt | [feɾˈir]
ferve | boils | [fˈɛɾəvy]
fez | did | [fˈes]
fica | stays | [fˈikæ]
ficado | stayed | [fˌikˈadʊ]
ficam | stay | [fˈikɐ̃ʊ̃]
ficamos | we stay | [fˌikˈɐ̃mʊs]
ficando | staying | [fˌikˈɐ̃ŋdʊ]
ficar | to stay | [fikˈar]
ficou | stayed | [fikˈow]
fim | end | [fˈiŋ]
finalmente | finally | [fˌinaʊmˈeɪŋtʃy]
fingir | to pretend | [fiŋʒˈir]
fique | stay | [fˈiky]
firmeza | firmness | [fˌiɾəmˈezæ]
fixamente | intently | [fˌiksæmˈeɪŋtʃy]
fiz | did | [fˈis]
fogo | fire | [fˈoɡʊ]
foi | was | [fˈoɪ]
fome | hunger | [fˈomy]
fomos | we were | [fˈomʊs]
fonte | source | [fˈoŋtʃy]
fora | outside | [fˈɔɾæ]
forma | shape | [fˈɔɾəmæ]
forte | strong | [fˈɔɾətʃy]
fortes | strong | [fˈɔɾətʃys]
fotos | photos | [fˈɔtʊs]
fragilidade | fragility | [frˌaʒilidˈadʒy]
freneticamente | frantically | [frˌenetʃˌikæmˈeɪŋtʃy]
frente | front | [frˈeɪŋtʃy]
fresco | fresh | [frˈeskʊ]
frio | cold | [frˈiʊ]
fugir | escape | [fuʒˈir]
fui | went | [fˈuɪ]
fundo | deep | [fˈũŋdʊ]
futuro | future | [fˌutˈuɾʊ]
futuros | futures | [fˌutˈuɾʊs]
fácil | easy | [fˈasiʊ]
fósforo | match | [fˈɔsfoɾʊ]
fósforos | matches | [fˈɔsfoɾʊs]
ganhar | win | [ɡɐ̃ɲˈar]
garrafa | bottle | [ɡˌaxˈafæ]
gato | cat | [ɡˈatʊ]
gente | people | [ʒˈeɪŋtʃy]
gentileza | kindness | [ʒˌeɪŋtʃilˈezæ]
gentis | kind | [ʒeɪŋtʃˈis]
gostam | like | [ɡˈɔstɐ̃ʊ̃]
gostaria | would like | [ɡˌostaɾˈiæ]
gosto | taste | [ɡˈostʊ]
grande | big | [ɡrˈɐ̃ŋdʒy]
gratidão | gratitude | [ɡrˌatʃidˈɐ̃ʊ̃]
grava | records | [ɡrˈavæ]
gravou | recorded | [ɡravˈow]
grita | screams | [ɡrˈitæ]
gritando | screaming | [ɡrˌitˈɐ̃ŋdʊ]
grupo | group | [ɡrˈupʊ]
guia | guide | [ɡˈiæ]
guichê | ticket counter | [ɡiʃˈe]
guiou | guided | [ɡiˈow]
gás | gas | [ɡˈas]
harmonia | harmony | [ˌaɾəmonˈiæ]
havia | there was | [ˌavˈiæ]
helicóptero | helicopter | [ˌelikˈɔpteɾʊ]
hesita | hesitates | [ˌezˈitæ]
história | story | [ˌistˈɔɾjæ]
histórias | stories | [ˌistˈɔɾjæs]
homem | man | [ˈomeɪŋ]
hora | hour | [ˈɔɾæ]
horas | hours | [ˈɔɾæs]
humana | human | [ˌumˈɐ̃næ]
humanas | humans | [ˌumˈɐ̃næs]
há | there is | [ˈa]
ida | departure | [ˈidæ]
ideia | idea | [ˌidˈɛɪæ]
ido | gone | [ˈidʊ]
idoso | elderly | [ˌidˈozʊ]
igual | equal | [iɡwˈaʊ]
ilumina | illuminates | [ˌilumˈinæ]
ilusão | illusion | [ˌiluzˈɐ̃ʊ̃]
imaginava | imagined | [ˌimaʒinˈavæ]
imediatamente | immediately | [ˌimedʒˌiatæmˈeɪŋtʃy]
implica | implies | [ˌimplˈikæ]
importa | matters | [ˌimpˈɔɾətæ]
importante | important | [ˌimpoɾətˈɐ̃ŋtʃy]
importe | amount | [ˌimpˈɔɾətʃy]
importância | importance | [ˌimpoɾətˈɐ̃ŋsjæ]
impossível | impossible | [ˌimposˈiveʊ]
impressão | impression | [ˌimpresˈɐ̃ʊ̃]
incerteza | uncertainty | [ˌiŋseɾətˈezæ]
incluído | included | [ˌiŋkluˈidʊ]
incomum | uncommon | [ˌiŋkomˈũŋ]
incrédula | incredulous | [ˌiŋkrˈɛdulæ]
indiferente | indifferent | [ˌiŋdʒifeɾˈeɪŋtʃy]
indiferentes | indifferent | [ˌiŋdʒifeɾˈeɪŋtʃys]
inesperado | unexpected | [ˌinespeɾˈadʊ]
infância | childhood | [ˌiŋfˈɐ̃ŋsjæ]
ingenuidade | naivety | [ˌiŋʒenuɪdˈadʒy]
inglês | English | [iŋɡlˈes]
inocência | innocence | [ˌinosˈeɪŋsjæ]
insiste | insists | [ˌiŋsˈistʃy]
instantes | moments | [ˌiŋstˈɐ̃ŋtʃys]
intencionalidade | intentionality | [ˌiŋteɪŋsˌionˌalidˈadʒy]
interior | interior | [ˌiŋteɾiˈor]
interpreta | interprets | [ˌiŋteɾəprˈɛtæ]
interpreto | interpret | [ˌiŋteɾəprˈɛtʊ]
invernos | winters | [ˌiŋvˈɛɾənʊs]
involuntária | involuntary | [ˌiŋvolũŋtˈaɾjæ]
ir | go | [ˈir]
isso | that | [ˈisʊ]
lado | side | [lˈadʊ]
lanchonete | diner | [lˌɐ̃ŋʃonˈɛtʃy]
lanterna | lantern | [lˌɐ̃ŋtˈɛɾənæ]
laptop | laptop | [lɛptˈɔp]
lareira | fireplace | [lˌaɾˈeɪɾæ]
legal | cool | [leɡˈaʊ]
leite | milk | [lˈeɪtʃy]
lembram | remember | [lˈeɪmbrɐ̃ʊ̃]
lenha | firewood | [lˈeɲæ]
lentamente | slowly | [lˌeɪŋtæmˈeɪŋtʃy]
ler | read | [lˈer]
leva | takes | [lˈɛvæ]
levam | take | [lˈɛvɐ̃ʊ̃]
levanta | raises | [lˌevˈɐ̃ŋtæ]
levantou | raised | [lˌevɐ̃ŋtˈow]
levar | carry | [levˈar]
levem | take | [lˈɛveɪŋ]
lhes | them | [ʎˈys]
lidar | deal | [lidˈar]
liga | league | [lˈiɡæ]
limpo | clean | [lˈimpʊ]
linda | beautiful | [lˈiŋdæ]
lindas | beautiful (plural) | [lˈiŋdæs]
lindo | beautiful | [lˈiŋdʊ]
lista | list | [lˈistæ]
livre | free | [lˈivry]
livro | book | [lˈivrʊ]
local | place | [lokˈaʊ]
logo | soon | [lˈɔɡʊ]
longa | long | [lˈoŋɡæ]
longe | far | [lˈoŋʒy]
longo | long | [lˈoŋɡʊ]
louco | crazy | [lˈowkʊ]
lucas | Lucas | [lˈukæs]
lugar | place | [luɡˈar]
lugares | places | [lˌuɡˈaɾys]
lugarzinho | little place | [lˌuɡaɾəzˈiɲʊ]
luz | light | [lˈus]
lá | there | [lˈa]
