# Complete Dutch Dictionary
# Generated from story and phrases
# Format: word | [IPA]
# Total words: 1837

aan | [ˈaːn]
blijf | [blˈɛɪf]
blijft | [blˈɛɪft]
blijven | [blˈɛɪvən]
blokkeren | [blɔkˈɪːrən]
blɔkˈɪːrən | [bˈeː ˈɛl (en)ˌəʊpənˈɔː(nl) kˈaː (en)stɹˈɛs smˈɔːlkˌapˈaɪ lˈɛŋθənd(nl) ˈɛr (en)ʃwˈɑː(nl) ˈɛn]
boek | [bˈuk]
boer | [bˈur]
boerderij | [bˌurdərˈɛɪ]
bomen | [bˈoːmən]
boodschappen | [bˈoːdsxɑpən]
bordeaux | [bɔrdˈoːks]
borden | [bˈɔrdən]
borg | [bˈɔrx]
boven | [bˈoːvən]
brandnetels | [brˈɑndnətˌɛls]
brandt | [brˈɑntt]
breakfast | [brˈeːɑkfˌɑst]
brengen | [brˈɛŋən]
brengt | [brˈɛŋt]
broekzak | [brˈukzɑk]
bron | [brˈɔn]
brood | [brˈoːt]
broodjes | [brˈoːtjəs]
bruisen | [brˈœyzən]
buikpijn | [bœykpˈɛɪn]
buiten | [bˈœytən]
bus | [bˈɵs]
bushalte | [bˈɵshɑltə]
buurt | [bˈyrt]
buy | [bˈyi]
by | [bˈi]
bye | [bˈiə]
bədrˈɑx | [bˈeː (en)ʃwˈɑː(nl) dˈeː ˈɛr (en)stɹˈɛs ˈalfə(nl) ˈɪks]
bəsxˈɪkbaːrhˌɛɪt | [bˈeː (en)ʃwˈɑː(nl) s ˈɪks (en)stɹˈɛs smˈɔːlkˌapˈaɪ(nl) kˈaː bˈeː ˈaː (en)lˈɛŋθənd(nl) ˈɛr hˈaː (en)sˈɛkəndɹɪstɹˌɛs ˌəʊpənˈɛː smˈɔːlkˌapˈaɪ(nl) tˈeː]
bətˈaːlən | [bˈeː (en)ʃwˈɑː(nl) tˈeː (en)stɹˈɛs(nl) ˈaː (en)lˈɛŋθənd(nl) ˈɛl (en)ʃwˈɑː(nl) ˈɛn]
bətˈeːkən | [bˈeː (en)ʃwˈɑː(nl) tˈeː (en)stɹˈɛs(nl) ˈeː (en)lˈɛŋθənd(nl) kˈaː (en)ʃwˈɑː(nl) ˈɛn]
bəvˈɛstiɣˌɪŋ | [bˈeː (en)ʃwˈɑː(nl) fˈeː (en)stɹˈɛs ˌəʊpənˈɛː(nl) s tˈeː ˈiː (en)ɡˈamə sˈɛkəndɹɪstɹˌɛs smˈɔːlkˌapˈaɪ(nl) ˈɛn]
bəvˈɛstəɣən | [bˈeː (en)ʃwˈɑː(nl) fˈeː (en)stɹˈɛs ˌəʊpənˈɛː(nl) s tˈeː (en)ʃwˈɑː ɡˈamə ʃwˈɑː(nl) ˈɛn]
bəɣrˈɛɪp | [bˈeː (en)ʃwˈɑː ɡˈamə(nl) ˈɛr (en)stɹˈɛs ˌəʊpənˈɛː smˈɔːlkˌapˈaɪ(nl) pˈeː]
bəɣˈɪnən | [bˈeː (en)ʃwˈɑː ɡˈamə stɹˈɛs smˈɔːlkˌapˈaɪ(nl) ˈɛn (en)ʃwˈɑː(nl) ˈɛn]
bɛn | [bˈɛn]
bˈeːtər | [bˈeː (en)stɹˈɛs(nl) ˈeː (en)lˈɛŋθənd(nl) tˈeː (en)ʃwˈɑː(nl) ˈɛr]
bˈeːtʲə | [bˈeː (en)stɹˈɛs(nl) ˈeː (en)lˈɛŋθənd(nl) tˈeː jˈeː (en)ʃwˈɑː(nl)]
bˈyrt | [bˈeː (en)stɹˈɛs(nl) ˈɛɪ ˈɛr tˈeː]
bˈɑŋkpɑs | [bˈeː (en)stɹˈɛs ˈalfə(nl) ˈɛn kˈaː pˈeː (en)ˈalfə(nl) s]
bˈɑŋkrəkˌeːnɪŋ | [bˈeː (en)stɹˈɛs ˈalfə(nl) ˈɛn kˈaː ˈɛr (en)ʃwˈɑː(nl) kˈaː (en)sˈɛkəndɹɪstɹˌɛs(nl) ˈeː (en)lˈɛŋθənd(nl) ˈɛn (en)smˈɔːlkˌapˈaɪ(nl) ˈɛn]
bˈɔrx | [bˈeː (en)stɹˈɛs ˌəʊpənˈɔː(nl) ˈɛr ˈɪks]
bˈɛlən | [bˈeː (en)stɹˈɛs ˌəʊpənˈɛː(nl) ˈɛl (en)ʃwˈɑː(nl) ˈɛn]
bˈɪnənkˌɔrt | [bˈeː (en)stɹˈɛs smˈɔːlkˌapˈaɪ(nl) ˈɛn (en)ʃwˈɑː(nl) ˈɛn kˈaː (en)sˈɛkəndɹɪstɹˌɛs ˌəʊpənˈɔː(nl) ˈɛr tˈeː]
bˈɵshɑltə | [bˈeː (en)stɹˈɛs ˌəʊbˈɑː(nl) s hˈaː (en)ˈalfə(nl) ˈɛl tˈeː (en)ʃwˈɑː(nl)]
cadeau | [kaːdˈoː]
café | [kaːfˈeː]
call | [kˈɑl]
can | [kˈɑn]
cancel | [kɑnsˈɛl]
cancellation | [kˌɑnsɛlaːʃˈɔn]
cancelled | [kˈɑnsɛlˌɛt]
card | [kˈɑrt]
cards | [kˈɑrts]
careful | [kˈaːrəfˌɵl]
centraal | [sɛntrˈaːl]
change | [ʃˈɑ̃ʒə]
charmant | [ʃɑrmˈɑnt]
charme | [ʃˈɑrmə]
check | [tʃˈɛk]
cheers | [ʃˈɪːrs]
chocoladebroodje | [ʃˈoːkoːlˌaːdɛbrˌoːtjə]
christmas | [krˈɪstmɑs]
cirkel | [sˈɪrkəl]
claim | [klˈɑjm]
code | [kˈoːdə]
color | [kˈoːlɔr]
come | [kˈoːmə]
coming | [kˈoːmɪŋ]
complaint | [kˈɔmplɑjnt]
compleet | [kɔmplˈeːt]
completer | [kˈɔmplətər]
conditie | [kɔndˈitsi]
conditioning | [kˈɔndiʃˌoːnɪŋ]
confirm | [kˈɔnfɪrm]
confirmation | [kˌɔnfɪrmaːʃˈɔn]
congratulations | [kˌɔŋraːtˌylaːʃˈɔns]
constant | [kɔnstˈɑnt]
contact | [kˈɔntɑkt]
controleert | [kˌɔntroːlˈɪrt]
controleren | [kˌɔntroːlˈɪːrən]
cost | [kˈɔst]
coughing | [kˈʌʊxhɪŋ]
could | [kˈʌʊlt]
covered | [kˈoːvɪːrˌɛt]
credit | [krˈeːdɪt]
creditcards | [krˈeːdɪtkˌɑrts]
cuypstraat | [kˈyɪpstrˌaːt]
daal | [dˈaːl]
daalt | [dˈaːlt]
daar | [dˈaːr]
daarboven | [daːrbˈoːvən]
daarna | [dˈaːrnaː]
daarom | [dˈaːrɔm]
dacht | [dˈɑxt]
dag | [dˈɑx]
dalen | [dˈaːlən]
dan | [dˈɑn]
dank | [dˈɑŋk]
dankbaarheid | [dˈɑŋkbaːrhˌɛɪt]
danst | [dˈɑnst]
dat | [dˈɑt]
day | [dˈaːj]
de | [dˈə]
deductible | [dˈeːdɵktˌɪblə]
deel | [dˈeːl]
deken | [dˈeːkən]
delen | [dˈeːlən]
denk | [dˈɛŋk]
denken | [dˈɛŋkən]
denkt | [dˈɛŋkt]
deposit | [dˈeːpoːzˌɪt]
der | [dˈɛr]
des | [dˈɛs]
deur | [dˈøːr]
deze | [dˈeːzə]
dezelfde | [dəzˈɛlvdə]
dicht | [dˈɪxt]
dichtbij | [dɪxtbˈɛɪ]
dichterbij | [dˌɪxtərbˈɛɪ]
dichtstbijzijnde | [dˈɪxtstbɛɪzˌɛɪndə]
didn't | [dˈɪdnt]
die | [dˈi]
diep | [dˈip]
dieper | [dˈipər]
diepgaander | [dˈipɣaːndər]
dier | [dˈir]
dieren | [dˈirən]
diergedrag | [dˈirɣɛdrˌɑx]
dierlijk | [dˈirlək]
dik | [dˈɪk]
dikke | [dˈɪkə]
diner | [dinˈeː]
dingen | [dˈɪŋən]
direct | [dˈirɛkt]
directe | [dˈirɛktə]
dit | [dˈɪt]
do | [dˈoː]
doctor | [dˈɔktɔr]
documenten | [dˌoːkymˈɛntən]
documents | [dˌoːkymˈɛnts]
doen | [dˈun]
does | [dˈus]
doesn't | [dˈusnt]
doet | [dˈut]
dokter | [dˈɔktər]
dom | [dˈɔm]
don't | [dˈɔnt]
donkere | [dˈɔŋkərə]
door | [dˈoːr]
doordringend | [dˈɔːrdrɪŋənt]
doorgaan | [dɔːrɣˈaːn]
doorgroeimogelijkheden | [dˈɔːrɣrujmˌoːɣələkhˌeːdən]
doorstaan | [dɔːrstˈaːn]
dorp | [dˈɔrp]
dorpje | [dˈɔrpjə]
doːr | [dˈeː ˈoː (en)lˈɛŋθənd(nl) ˈɛr]
draagt | [drˈaːxt]
draait | [drˈaːjt]
dreigende | [drˈɛɪɣəndə]
drie | [drˈi]
dringt | [drˈɪŋt]
drink | [drˈɪŋk]
drinken | [drˈɪŋkən]
drinkt | [drˈɪŋkt]
drinkwater | [drˈɪŋkʋaːtər]
droefheid | [drˈufhɛɪt]
droeg | [drˈux]
dromen | [drˈoːmən]
druk | [drˈɵk]
durf | [dˈɵrf]
duur | [dˈyr]
duurt | [dˈyrt]
dwingt | [dʋˈɪŋt]
dɑt | [dˈɑt]
də | [dˈeː]
dɪt | [dˌeː(en)smˌɔːlkˌapˌaɪ(nl)tˈeː]
dɪxtbˈɛɪ | [dˈeː (en)smˈɔːlkˌapˈaɪ(nl) ˈɪks tˈeː bˈeː (en)stɹˈɛs ˌəʊpənˈɛː smˈɔːlkˌapˈaɪ(nl)]
dˈaːr | [dˈeː (en)stɹˈɛs(nl) ˈaː (en)lˈɛŋθənd(nl) ˈɛr]
dˈirɛktə | [dˈeː (en)stɹˈɛs(nl) ˈiː ˈɛr (en)ˌəʊpənˈɛː(nl) kˈaː tˈeː (en)ʃwˈɑː(nl)]
dˈyr | [dˈeː (en)stɹˈɛs(nl) ˈɛɪ ˈɛr]
dˈyrt | [dˈeː (en)stɹˈɛs(nl) ˈɛɪ ˈɛr tˈeː]
dˈɑn | [dˈeː (en)stɹˈɛs ˈalfə(nl) ˈɛn]
dˈɑx | [dˈeː (en)stɹˈɛs ˈalfə(nl) ˈɪks]
dˈɑŋk | [dˈeː (en)stɹˈɛs ˈalfə(nl) ˈɛn kˈaː]
dˈɔktər | [dˈeː (en)stɹˈɛs ˌəʊpənˈɔː(nl) kˈaː tˈeː (en)ʃwˈɑː(nl) ˈɛr]
dˈɔːrɣrujmˌoːɣələkhˌeːdən | [dˈeː (en)stɹˈɛs ˌəʊpənˈɔː lˈɛŋθənd(nl) ˈɛr (en)ɡˈamə(nl) ˈɛr y jˈeː ˈɛm (en)sˈɛkəndɹɪstɹˌɛs(nl) ˈoː (en)lˈɛŋθənd ɡˈamə ʃwˈɑː(nl) ˈɛl (en)ʃwˈɑː(nl) kˈaː hˈaː (en)sˈɛkəndɹɪstɹˌɛs(nl) ˈeː (en)lˈɛŋθənd(nl) dˈeː (en)ʃwˈɑː(nl) ˈɛn]
dˈɛs | [dˈeː (en)stɹˈɛs ˌəʊpənˈɛː(nl) s]
dˈɪt | [dˌeː(en)stɹˌɛssmˈɔːlkˌapˌaɪ(nl)tˈeː]
dˈɪxtstbɛɪzˌɛɪndə | [dˈeː (en)stɹˈɛs smˈɔːlkˌapˈaɪ(nl) ˈɪks tˈeː s tˈeː bˈeː (en)ˌəʊpənˈɛː smˈɔːlkˌapˈaɪ(nl) zˈɛt (en)sˈɛkəndɹɪstɹˌɛs ˌəʊpənˈɛː smˈɔːlkˌapˈaɪ(nl) ˈɛn dˈeː (en)ʃwˈɑː(nl)]
dˌoːkymˈɛntən | [dˈeː (en)sˈɛkəndɹɪstɹˌɛs(nl) ˈoː (en)lˈɛŋθənd(nl) kˈaː ˈɛɪ ˈɛm (en)stɹˈɛs ˌəʊpənˈɛː(nl) ˈɛn tˈeː (en)ʃwˈɑː(nl) ˈɛn]
e-mail | [ˈiːmeːl]
e-mailadres | [ˈeːmˌeːɪlɑdrˈɛs]
echt | [ˈɛxt]
een | [ˈeːn]
eens | [ˈeːns]
eentonig | [eːntˈoːnəx]
eenvoudig | [eːnvˈʌʊdəx]
eenzaamheden | [ˈeːnzaːmhˌeːdən]
eenzaamheid | [ˈeːnzaːmhˌɛɪt]
eerder | [ˈɪːrdər]
eerst | [ˈɪːrst]
eet | [ˈeːt]
eetbaar | [ˈeːtbaːr]
eetzaal | [eːtzˈaːl]
eigen | [ˈɛɪɣən]
eigenaar | [ˈɛɪɣənˌaːr]
eigenaresse | [ˈɛɪɣənˌaːrɛsə]
einde | [ˈɛɪndə]
eindelijk | [ˈɛɪndələk]
elementen | [ˌeːləmˈɛntən]
elf | [ˈɛlf]
elk | [ˈɛlk]
elkaar | [ˈɛlkaːr]
elke | [ˈɛlkə]
email | [ˈeːmeːˌɪl]
emotie | [eːmˈoːtsi]
en | [ˈɛn]
engels | [ˈɛŋəls]
engelse | [ˈɛŋɛlsə]
english | [ˈɛŋlɪʃ]
enjoy | [ˈɛɲoːˌi]
enkele | [ˈɛŋkələ]
enthousiast | [ˌɛntuʒˈɑst]
er | [ˈər]
eraan | [ɛrˈaːn]
erg | [ˈɛrx]
ergens | [ˈɛrɣəns]
erin | [ɛrˈɪn]
erover | [ɛrˈoːvər]
ervaring | [ɛrvˈaːrɪŋ]
ervoor | [ɛrvˈɔːr]
essentiële | [ˌɛsənʃˈeːlə]
eten | [ˈeːtən]
euro | [ˈøːroː]
even | [ˈeːvən]
evening | [ˈeːvənˌɪŋ]
exchange | [ˈɛksxɑŋə]
excuse | [ˈɛkskysə]
excuseer | [ˌɛkskyzˈɪr]
expensive | [ˈɛkspənsˌivə]
far | [fˈɑr]
favoriete | [fˌaːvoːrˈitə]
feel | [fˈeːl]
fees | [fˈeːs]
fever | [fˈeːvər]
fijne | [fˈɛɪnə]
file | [fˈilə]
fine | [fˈinə]
fles | [flˈɛs]
flight | [flˈɪxt]
for | [fˈɔr]
formal | [fˈɔrmɑl]
foto's | [fˈoːtoːs]
found | [fˈʌʊnt]
frans | [frˈɑns]
franse | [frˈɑnsə]
french | [frˈɛnx]
frisse | [frˈɪsə]
from | [frˈɔm]
frˈɑns | [ˈɛf ˈɛr (en)stɹˈɛs ˈalfə(nl) ˈɛn s]
fˈɛɪnə | [ˈɛf (en)stɹˈɛs ˌəʊpənˈɛː smˈɔːlkˌapˈaɪ(nl) ˈɛn (en)ʃwˈɑː(nl)]
ga | [ɣˈaː]
gaan | [ɣˈaːn]
gaat | [ɣˈaːt]
gaven | [ɣˈaːvən]
geannuleerd | [ɣəˌɑnylˈɪrt]
gebak | [ɣəbˈɑk]
gebakjes | [ɣəbˈɑkjəs]
gebeurt | [ɣəbˈøːrt]
geblaat | [ɣəblˈaːt]
geboden | [ɣəbˈoːdən]
gebouwen | [ɣəbˈʌʊən]
gebruikt | [ɣəbrˈœykt]
gecontroleerd | [ɣəkˌɔntroːlˈɪrt]
gecreëerd | [ɣəkreːˈɪrt]
gedaan | [ɣədˈaːn]
gedacht | [ɣədˈɑxt]
gedachten | [ɣədˈɑxtən]
gedekt | [ɣədˈɛkt]
gedrag | [ɣədrˈɑx]
geduld | [ɣədˈɵlt]
geeft | [ɣˈeːft]
geen | [ɣˈeːn]
geest | [ɣˈeːst]
gefeliciteerd | [ɣəfˌeːlisitˈɪrt]
gegraveerd | [ɣəɣraːvˈɪrt]
geit | [ɣˈɛɪt]
gek | [ɣˈɛk]
gekeken | [ɣəkˈeːkən]
gekomen | [ɣəkˈoːmən]
gekost | [ɣəkˈɔst]
geladen | [ɣəlˈaːdən]
geld | [ɣˈɛlt]
geldautomaat | [ɣˌɛldʌʊtoːmˈaːt]
geleefd | [ɣəlˈeːft]
geleerd | [ɣəlˈɪːrt]
geleid | [ɣəlˈɛɪt]
gelijk | [ɣəlˈɛɪk]
geluid | [ɣəlˈœyt]
geluiden | [ɣəlˈœydən]
geluk | [ɣəlˈɵk]
gelukkig | [ɣəlˈɵkəx]
gelukkige | [ɣəlˈɵkəɣə]
gemaakt | [ɣəmˈaːkt]
gemakkelijke | [ɣəmˈɑkələkə]
genietend | [ɣənˈitənt]
gepakt | [ɣəpˈɑkt]
gered | [ɣərˈɛt]
gerimpelde | [ɣərˈɪmpəldə]
gescheiden | [ɣəsxˈɛɪdən]
geschenken | [ɣəsxˈɛŋkən]
geserveerd | [ɣəsɛrvˈɪrt]
geslapen | [ɣəslˈaːpən]
gespannen | [ɣəspˈɑnən]
gesprek | [ɣəsprˈɛk]
gestolen | [ɣəstˈoːlən]
gestuurd | [ɣəstˈyrt]
get | [ɣˈɛt]
geur | [ɣˈøːr]
gevoel | [ɣəvˈul]
gevonden | [ɣəvˈɔndən]
geweten | [ɣəʋˈeːtən]
gewone | [ɣəʋˈoːnə]
gewoon | [ɣəʋˈoːn]
gewoond | [ɣəʋˈoːnt]
gezellig | [ɣəzˈɛləx]
gezicht | [ɣəzˈɪxt]
gezien | [ɣəzˈin]
gids | [ɣˈɪts]
gidsgeit | [ɣˈɪdsxɛɪt]
gift-wrap | [ɣˈɪftvrˈɑp]
gisteravond | [ɣˈɪstɪːrˌaːvɔnt]
gisteren | [ɣˈɪstərən]
gladly | [ɣlˈɑdli]
glimlach | [ɣlˈɪmlɑx]
glimlacht | [ɣlˈɪmlɑxt]
gluten-free | [ɣlˈytənfrˈeː]
glutenvrij | [ɣlˌytənvrˈɛɪ]
go | [ɣˈoː]
god | [ɣˈɔt]
godzijdank | [ɣˈɔdzɛɪdˌɑŋk]
goed | [ɣˈut]
goede | [ɣˈudə]
goedenavond | [ɣˈudənˌaːvɔnt]
goedendag | [ɣˈudəndˌɑx]
goedheid | [ɣˈudhɛɪt]
good | [ɣˈoːt]
goodbye | [ɣˈoːdbiə]
graag | [ɣrˈaːx]
groeit | [ɣrˈujt]
groene | [ɣrˈunə]
groepsreservering | [ɣrˌupsrəzərvˈɪːrɪŋ]
grootmoeder | [ɣrˈoːtmudər]
grote | [ɣrˈoːtə]
groter | [ɣrˈoːtər]
grotere | [ɣrˈoːtərə]
haalt | [hˈaːlt]
haar | [hˈaːr]
haard | [hˈaːrt]
had | [hˈɑt]
hadden | [hˈɑdən]
halen | [hˈaːlən]
half | [hˈɑlf]
hallo | [hˈɑloː]
ham | [hˈɑm]
hand | [hˈɑnt]
handen | [hˈɑndən]
hang | [hˈɑŋ]
happy | [hˈɑpi]
harder | [hˈɑrdər]
hartelijk | [hˈɑrtələk]
has | [hˈɑs]
have | [hˈaːvə]
haven't | [hˈaːvɛnt]
headache | [hˌeːaːdˈɑʃ]
heb | [hˈɛp]
hebben | [hˈɛbən]
hebt | [hˈɛpt]
heeft | [hˈeːft]
heel | [hˈeːl]
heen | [hˈeːn]
heerlijk | [hˈɪːrlək]
heet | [hˈeːt]
heftig | [hˈɛftəx]
helder | [hˈɛldər]
hele | [hˈeːlə]
helemaal | [hˌeːləmˈaːl]
helikopter | [hˈeːlikˌɔptər]
hello | [hˈɛloː]
help | [hˈɛlp]
helpen | [hˈɛlpən]
hem | [hˈɛm]
hen | [hˈɛn]
herberg | [hɛrbˈɛrx]
herbergt | [hɛrbˈɛrxt]
herdershut | [hˈɛrdərshˌɵt]
herdersstructuur | [hˌɛrdərstrɵktˈyr]
here | [hˈɛrə]
hereniging | [hˈɪːrənˌiɣɪŋ]
herhalen | [hɛrhˈaːlən]
herinneren | [hɛrˈɪnərən]
herinneringen | [hɛrˈɪnərˌɪŋən]
herken | [hˈɛrkən]
herkend | [hɛrkˈɛnt]
herkende | [hɛrkˈɛndə]
herstel | [hɛrstˈɛl]
hervat | [hɛrvˈɑt]
het | [hˈət]
hetzelfde | [hˈɛtzɛlvdə]
heuvelachtiger | [hˌøːvəlˈɑxtəɣər]
heuvels | [hˈøːvəls]
heːft | [hˈaː ˈeː (en)lˈɛŋθənd(nl) ˈɛf tˈeː]
hi | [hˈi]
hielpen | [hˈilpən]
hier | [hˈir]
hij | [hˈɛɪ]
hoe | [hˈu]
hoek | [hˈuk]
hoest | [hˈust]
hoeveel | [huvˈeːl]
hoewel | [huʋˈɛl]
hoi | [hˈoːi]
hond | [hˈɔnt]
honger | [hˈɔŋər]
hoofd | [hˈoːft]
hoofdpijn | [hoːvdpˈɛɪn]
hoop | [hˈoːp]
hoor | [hˈoːr]
hoort | [hˈɔːrt]
hopelijk | [hˈoːpələk]
hopen | [hˈoːpən]
horloge | [hˈɔrloːxə]
hot | [hˈɔt]
hou | [hˈʌʊ]
houd | [hˈʌʊt]
houden | [hˈʌʊdən]
hout | [hˈʌʊt]
houten | [hˈʌʊtən]
how | [hˈɔw]
hoːvdpˈɛɪn | [hˈaː ˈoː (en)lˈɛŋθənd(nl) fˈeː dˈeː pˈeː (en)stɹˈɛs ˌəʊpənˈɛː smˈɔːlkˌapˈaɪ(nl) ˈɛn]
huilend | [hˈœylənt]
huis | [hˈœys]
huisje | [hˈœysjə]
huizen | [hˈœyzən]
hulp | [hˈɵlp]
hun | [hˈɵn]
huren | [hˈyrən]
hut | [hˈɵt]
hutje | [hˈɵtʲə]
huur | [hˈyr]
huvˈeːl | [hˈaː y fˈeː (en)stɹˈɛs(nl) ˈeː (en)lˈɛŋθənd(nl) ˈɛl]
hè | [hˈeː]
hə | [hˈeː]
hət | [hˈɛt]
hɛ | [hˈeː]
hɛp | [hˈɛp]
hɛrhˈaːlən | [hˈaː (en)ˌəʊpənˈɛː(nl) ˈɛr hˈaː (en)stɹˈɛs(nl) ˈaː (en)lˈɛŋθənd(nl) ˈɛl (en)ʃwˈɑː(nl) ˈɛn]
hˈeːft | [hˈaː (en)stɹˈɛs(nl) ˈeː (en)lˈɛŋθənd(nl) ˈɛf tˈeː]
hˈeːl | [hˈaː (en)stɹˈɛs(nl) ˈeː (en)lˈɛŋθənd(nl) ˈɛl]
hˈeːt | [hˈaː (en)stɹˈɛs(nl) ˈeː (en)lˈɛŋθənd(nl) tˈeː]
hˈir | [hˈaː (en)stɹˈɛs(nl) ˈiː ˈɛr]
hˈoːi | [hˈaː (en)stɹˈɛs(nl) ˈoː (en)lˈɛŋθənd(nl) ˈiː]
hˈu | [hˈaː (en)stɹˈɛs(nl) y]
hˈust | [hˈaː (en)stɹˈɛs(nl) y s tˈeː]
